t,accCmpX,accCmpY,accCmpZ
166,-10.0493,-1.48139,-17.5254
167,-9.84941,-2.7995,-5.95955
168,-9.48981,1.68595,-2.36315
169,-9.0626,4.64693,-13.2998
170,-9.00342,5.20951,-9.75829
171,-8.92321,5.20004,-7.37378
172,-9.53713,3.94643,-13.3403
173,-9.98863,1.80587,-17.8552
174,-10.2506,1.6746,-15.6804
175,-10.3962,0.927567,-13.0095
176,-10.4238,-0.110437,-9.94586
177,-10.272,-1.23948,-11.5736
178,-10.1078,-2.16286,-12.0737
179,-9.60673,-2.63405,-2.98322
180,-8.78387,0.98743,-1.61869
181,-7.68636,6.04843,-6.66115
182,-1.49767,9.57042,-10.3653
183,5.13598,6.63965,-7.3377
184,6.81133,5.9847,-7.6575
185,8.0954,4.46638,-9.17212
186,8.47429,4.07635,-10.0211
187,8.75907,3.25884,-11.6971
188,6.89069,1.40081,-16.8907
189,3.52264,-7.21134,-11.9651
190,-0.495892,-8.06316,-10.0098
191,-4.46751,1.37664,-14.0794
192,-5.23459,-2.99329,-14.8625
193,-5.93008,-5.98172,-13.9801
194,-3.85472,-9.1839,-9.85184
195,-1.44274,-6.51053,-9.23305
196,1.38489,-0.283522,-12.3916
197,4.16776,5.4171,-14.0807
198,3.12397,2.82553,-13.5408
199,1.98845,-0.846796,-12.5513
200,0.828336,-4.58372,-11.2492
201,-1.4455,-8.66442,-9.51987
202,-3.72467,-8.94947,-10.5854
203,-6.27691,-6.53761,-13.1077
204,-8.32116,-3.55096,-16.1241
205,-7.75514,-6.30688,-11.9397
206,-7.11513,-6.41968,-7.62618
207,-6.40466,-3.72005,-5.17831
208,-4.04219,-7.21183,-7.17536
209,-1.22884,-9.4673,-9.17223
210,0.831619,-9.24634,-10.3993
211,2.80969,-8.8197,-10.7346
212,4.65025,-7.99752,-10.9872
213,6.75653,-5.80504,-14.4632
214,8.30919,-2.81639,-17.6719
215,8.97215,-1.10978,-18.9866
216,9.33316,-0.129058,-19.9995
217,9.31054,-1.51257,-17.1497
218,9.00911,-3.14847,-11.4941
219,8.57399,-3.6205,-5.93368
220,8.01458,-1.92,-2.87021
221,2.10174,9.86846,-10.2422
222,3.22026,-0.622375,-4.96793
223,4.37129,-8.3274,-8.83911
224,7.2855,-2.04192,-16.582
225,9.05628,1.94583,-16.165
226,9.31754,-1.12417,-6.15893
227,8.90147,-1.46123,-1.4087
228,7.9896,1.65945,-1.82204
229,6.69448,6.11404,-6.5297
230,7.97386,3.05473,-3.83492
