t,accX,accY,accZ
251,-0.24525,-0.13734000000000002,-10.006200000000002
252,-0.24525,-0.13734000000000002,-10.006200000000002
253,-0.14715,-0.10791000000000002,-10.3005
254,-0.14715,-0.10791000000000002,-10.3005
255,-0.14715,-0.10791000000000002,-10.3005
256,-0.18639000000000003,0.5493600000000001,-8.28945
257,-0.18639000000000003,0.5493600000000001,-8.28945
258,-0.20601000000000003,0.10791000000000002,-10.428030000000001
259,-0.20601000000000003,0.10791000000000002,-10.428030000000001
260,-0.20601000000000003,0.10791000000000002,-10.428030000000001
261,-0.06867000000000001,0.27468000000000004,-9.69228
262,-0.06867000000000001,0.27468000000000004,-9.69228
263,-0.18639000000000003,0.20601000000000003,-10.72233
264,-0.18639000000000003,0.20601000000000003,-10.72233
265,-0.14715,0.02943,-10.21221
266,-0.14715,0.02943,-10.21221
267,-0.14715,0.02943,-10.21221
268,-0.14715,0.02943,-10.21221
269,-0.35316000000000003,0.16677,-9.780569999999999
270,-0.36297,-0.08829000000000001,-9.2214
271,-0.36297,-0.08829000000000001,-9.2214
272,-0.36297,-0.08829000000000001,-9.2214
273,-0.48069,-0.17658000000000001,-11.20302
274,-0.41202000000000005,-0.0981,-10.3005
275,-0.41202000000000005,-0.0981,-10.3005
276,-0.41202000000000005,-0.0981,-10.3005
277,-0.35316000000000003,0.40221000000000007,-9.770760000000001
278,-0.35316000000000003,0.40221000000000007,-9.770760000000001
279,-0.35316000000000003,0.40221000000000007,-9.770760000000001
280,-0.35316000000000003,0.40221000000000007,-9.770760000000001
281,-0.25506,-0.05886,-9.11349
282,-0.1962,0.06867000000000001,-9.50589
283,-0.1962,0.06867000000000001,-9.50589
284,-0.1962,0.06867000000000001,-9.50589
285,-0.10791000000000002,0.26487,-10.16316
286,-0.10791000000000002,0.26487,-10.16316
287,-0.20601000000000003,0.10791000000000002,-9.584370000000002
288,-0.20601000000000003,0.10791000000000002,-9.584370000000002
289,-0.11772,-0.02943,-9.81
290,-0.11772,-0.02943,-9.81
291,-0.11772,-0.02943,-9.81
292,-0.11772,-0.02943,-9.81
293,-0.1962,-0.04905,-9.55494
294,-0.1962,-0.04905,-9.55494
295,-0.24525,-0.07848000000000001,-10.16316
296,-0.24525,-0.07848000000000001,-10.16316
297,-0.30411000000000005,0.27468000000000004,-9.15273
298,-0.30411000000000005,0.27468000000000004,-9.15273
299,-0.4316400000000001,-0.11772,-11.87991
300,-0.4316400000000001,-0.11772,-11.87991
301,-0.4316400000000001,-0.11772,-11.87991
302,-0.45126000000000005,-0.08829000000000001,-10.12392
303,-0.45126000000000005,-0.08829000000000001,-10.12392
304,-0.56898,0.13734000000000002,-10.378980000000002
305,-0.56898,0.13734000000000002,-10.378980000000002
306,-0.56898,0.13734000000000002,-10.378980000000002
307,-0.4905,0.08829000000000001,-9.496080000000001
308,-0.47088,0.0,-9.760950000000001
309,-0.47088,0.0,-9.760950000000001
310,-0.52974,-0.13734000000000002,-10.241640000000002
311,-0.52974,-0.13734000000000002,-10.241640000000002
312,-0.52974,-0.13734000000000002,-10.241640000000002
313,-0.67689,-0.13734000000000002,-9.70209
314,-0.67689,-0.13734000000000002,-9.70209
315,-0.67689,-0.13734000000000002,-9.70209
316,-0.66708,-0.3924,-9.682470000000002
317,-0.66708,-0.3924,-9.682470000000002
318,-0.66708,-0.3924,-9.682470000000002
319,-0.71613,0.009810000000000001,-10.840050000000002
320,-0.64746,0.02943,-9.339120000000001
321,-0.64746,0.02943,-9.339120000000001
322,-0.64746,0.02943,-9.339120000000001
323,-0.6376499999999999,0.0,-9.760950000000001
324,-0.6376499999999999,0.0,-9.760950000000001
325,-0.6278400000000001,0.4316400000000001,-9.60399
326,-0.6278400000000001,0.4316400000000001,-9.60399
327,-0.72594,-0.0981,-11.467890000000002
328,-0.72594,-0.0981,-11.467890000000002
329,-0.72594,-0.0981,-11.467890000000002
330,-0.33354,0.17658000000000001,-2.6388900000000004
331,-0.33354,0.17658000000000001,-2.6388900000000004
332,-0.69651,-0.5199300000000001,-10.575180000000001
333,-0.69651,-0.5199300000000001,-10.575180000000001
334,-0.69651,-0.5199300000000001,-10.575180000000001
335,-0.69651,0.06867000000000001,-8.51508
336,-0.69651,0.06867000000000001,-8.51508
337,-0.7651800000000001,0.22563000000000002,-9.00558
338,-0.7651800000000001,0.22563000000000002,-9.00558
339,-0.7651800000000001,0.22563000000000002,-9.00558
340,-0.64746,0.56898,-9.83943
341,-0.64746,0.56898,-9.83943
342,-0.56898,-0.14715,-8.51508
343,-0.56898,-0.14715,-8.51508
344,-0.44145000000000006,-0.35316000000000003,-8.09325
345,-0.44145000000000006,-0.35316000000000003,-8.09325
346,-0.44145000000000006,-0.35316000000000003,-8.09325
347,-0.44145000000000006,-0.13734000000000002,-9.329310000000001
348,-0.44145000000000006,-0.13734000000000002,-9.329310000000001
349,-0.44145000000000006,-0.13734000000000002,-9.329310000000001
350,-0.47088,-0.36297,-9.29007
351,-0.47088,-0.36297,-9.29007
352,-0.3924,-0.0981,-8.47584
353,-0.3924,-0.0981,-8.47584
354,-0.44145000000000006,0.31392000000000003,-9.329310000000001
355,-0.44145000000000006,0.31392000000000003,-9.329310000000001
356,-0.44145000000000006,0.31392000000000003,-9.329310000000001
357,-0.2943,0.51012,-9.859050000000002
358,-0.2943,0.51012,-9.859050000000002
359,-0.44145000000000006,0.08829000000000001,-9.80019
360,-0.44145000000000006,0.08829000000000001,-9.80019
361,-0.44145000000000006,0.08829000000000001,-9.80019
362,-0.36297,-0.5395500000000001,-10.68309
363,-0.36297,-0.5395500000000001,-10.68309
364,-0.38259000000000004,-0.2943,-10.732140000000001
365,-0.38259000000000004,-0.2943,-10.732140000000001
366,-0.38259000000000004,-0.2943,-10.732140000000001
367,-0.5493600000000001,0.13734000000000002,-12.05649
368,-0.6376499999999999,-0.02943,-12.674520000000001
369,-0.6376499999999999,-0.02943,-12.674520000000001
370,-0.6376499999999999,-0.02943,-12.674520000000001
371,-0.6376499999999999,-0.02943,-12.674520000000001
372,-0.6376499999999999,-0.02943,-12.674520000000001
373,-0.6376499999999999,-0.02943,-12.674520000000001
374,-0.5787900000000001,-0.40221000000000007,-10.947960000000002
375,-0.5787900000000001,-0.40221000000000007,-10.947960000000002
376,-0.5787900000000001,-0.40221000000000007,-10.947960000000002
377,-0.5787900000000001,-0.40221000000000007,-10.947960000000002
378,-0.5787900000000001,-0.40221000000000007,-10.947960000000002
379,-0.35316000000000003,0.44145000000000006,-5.8565700000000005
380,-0.35316000000000003,0.44145000000000006,-5.8565700000000005
381,-0.35316000000000003,0.44145000000000006,-5.8565700000000005
382,-0.35316000000000003,0.44145000000000006,-5.8565700000000005
383,-0.35316000000000003,0.44145000000000006,-5.8565700000000005
384,-0.23544,0.11772,-10.143540000000002
385,-0.23544,0.11772,-10.143540000000002
386,-0.23544,0.11772,-10.143540000000002
387,-0.23544,0.11772,-10.143540000000002
388,-0.23544,0.11772,-10.143540000000002
389,-0.1962,0.039240000000000004,-8.063820000000002
390,-0.1962,0.039240000000000004,-8.063820000000002
391,-0.1962,0.039240000000000004,-8.063820000000002
392,-0.1962,0.039240000000000004,-8.063820000000002
393,-0.1962,0.07848000000000001,-8.86824
394,-0.1962,0.07848000000000001,-8.86824
395,-0.1962,0.07848000000000001,-8.86824
396,-0.1962,0.07848000000000001,-8.86824
397,-0.1962,0.07848000000000001,-8.86824
398,-0.1962,0.07848000000000001,-8.86824
399,-0.11772,0.15696000000000002,-9.015390000000002
400,-0.11772,0.15696000000000002,-9.015390000000002
401,-0.11772,0.15696000000000002,-9.015390000000002
402,-0.11772,0.15696000000000002,-9.015390000000002
403,-0.40221000000000007,0.009810000000000001,-10.800810000000002
404,-0.40221000000000007,0.009810000000000001,-10.800810000000002
405,-0.40221000000000007,0.009810000000000001,-10.800810000000002
406,-0.40221000000000007,0.009810000000000001,-10.800810000000002
407,-0.40221000000000007,0.009810000000000001,-10.800810000000002
408,-0.25506,0.0,-11.32074
409,-0.25506,0.0,-11.32074
410,-0.25506,0.0,-11.32074
411,-0.25506,0.0,-11.32074
412,-0.25506,0.0,-11.32074
413,-0.25506,0.0,-11.32074
414,-0.22563000000000002,0.07848000000000001,-11.605230000000002
415,-0.22563000000000002,0.07848000000000001,-11.605230000000002
416,-0.22563000000000002,0.07848000000000001,-11.605230000000002
417,-0.22563000000000002,0.07848000000000001,-11.605230000000002
418,-0.22563000000000002,0.07848000000000001,-11.605230000000002
419,-0.30411000000000005,0.0,-10.045440000000001
420,-0.30411000000000005,0.0,-10.045440000000001
421,-0.30411000000000005,0.0,-10.045440000000001
422,-0.30411000000000005,0.0,-10.045440000000001
423,-0.30411000000000005,0.0,-10.045440000000001
424,-0.25506,-0.07848000000000001,-11.49732
425,-0.25506,-0.07848000000000001,-11.49732
426,-0.25506,-0.07848000000000001,-11.49732
427,-0.25506,-0.07848000000000001,-11.49732
428,-0.25506,-0.07848000000000001,-11.49732
429,-0.27468000000000004,0.8632800000000002,-6.435360000000001
430,-0.27468000000000004,0.8632800000000002,-6.435360000000001
431,-0.27468000000000004,0.8632800000000002,-6.435360000000001
432,-0.27468000000000004,0.8632800000000002,-6.435360000000001
433,-0.27468000000000004,0.8632800000000002,-6.435360000000001
434,-0.22563000000000002,-0.10791000000000002,-12.115350000000001
435,-0.22563000000000002,-0.10791000000000002,-12.115350000000001
436,-0.22563000000000002,-0.10791000000000002,-12.115350000000001
437,-0.22563000000000002,-0.10791000000000002,-12.115350000000001
438,-0.22563000000000002,-0.10791000000000002,-12.115350000000001
439,-0.23544,-0.48069,-10.11411
440,-0.23544,-0.48069,-10.11411
441,-0.23544,-0.48069,-10.11411
442,-0.23544,-0.48069,-10.11411
443,-0.23544,-0.48069,-10.11411
444,-0.42183000000000004,0.44145000000000006,-10.53594
445,-0.42183000000000004,0.44145000000000006,-10.53594
446,-0.42183000000000004,0.44145000000000006,-10.53594
447,-0.42183000000000004,0.44145000000000006,-10.53594
448,-0.42183000000000004,0.44145000000000006,-10.53594
449,-0.42183000000000004,0.44145000000000006,-10.53594
450,-0.52974,0.28449,-10.977390000000002
451,-0.52974,0.28449,-10.977390000000002
452,-0.52974,0.28449,-10.977390000000002
453,-0.5493600000000001,-0.30411000000000005,-10.85967
454,-0.5493600000000001,-0.30411000000000005,-10.85967
455,-0.5493600000000001,-0.30411000000000005,-10.85967
456,-0.5493600000000001,-0.30411000000000005,-10.85967
457,-0.5493600000000001,-0.30411000000000005,-10.85967
458,-0.51012,-0.11772,-7.44579
459,-0.51012,-0.11772,-7.44579
460,-0.51012,-0.11772,-7.44579
461,-0.51012,-0.11772,-7.44579
