t,velX,velY,velZ,velAir,vel
96,-0.104834,0.938087,-0.786039,18.509,7.38673
97,-0.164962,0.443943,-0.988244,16.6023,7.37995
98,-0.733014,0.374072,-1.43311,15.0598,7.37995
99,-0.972621,0.033274,-1.53307,13.7057,7.37995
100,-0.811174,-0.233667,-1.48602,13.3319,7.37392
101,-0.318875,-0.0638361,-1.06296,14.9568,7.37392
102,-0.201287,-0.219264,-1.00186,14.9269,7.37392
103,-0.0603425,-0.384733,-0.862178,15.0834,7.37086
104,0.0813772,-0.533065,-0.739711,15.3231,7.37086
105,0.392341,-0.799926,-0.796003,15.6934,7.37086
106,0.666749,-0.687125,-1.05215,16.4038,7.36352
107,0.923097,-0.172196,-1.61657,17.6346,7.36352
108,0.932324,-0.0105522,-1.85247,17.8269,7.36352
109,0.700326,-0.477767,-1.40111,16.4973,16.4973
110,0.342587,-0.81344,-1.10712,15.1699,15.1699
111,-0.0685773,-0.97073,-0.938799,14.0908,14.0908
112,-0.156461,-0.955237,-0.888872,13.975,13.975
113,-0.243463,-0.897105,-0.838892,13.9311,13.9311
114,-0.380764,-0.909939,-0.76157,13.7481,13.7481
115,-0.504659,-0.874919,-0.824839,13.4709,13.4709
116,-0.440706,-0.909139,-1.05114,13.2358,13.2358
117,-0.364825,-0.878623,-1.09935,13.3685,13.3685
118,-0.286306,-0.79994,-1.11105,13.6284,13.6284
119,-0.622658,-0.785454,-1.05498,13.0803,13.0803
120,-0.878678,-0.506387,-0.728768,13.6061,13.6061
121,-0.823631,-0.568608,-0.636803,13.7201,13.7201
122,-0.747803,-0.632751,-0.625892,13.7422,13.7422
123,-0.662963,-0.682881,-0.627485,13.7906,13.7906
124,-0.863826,-0.513594,-1.23689,12.9393,12.9393
125,-0.99444,-0.131768,-1.80561,13.0411,13.0411
126,-0.986526,-0.266393,-1.46103,13.0358,13.0358
127,-0.984193,-0.324098,-1.15224,13.2447,13.2447
128,-1.02889,-0.187167,-1.49705,13.1251,13.1251
129,-1.04501,-0.0562357,-1.68163,13.2595,13.2595
130,-1.03999,0.0360496,-1.82412,13.3942,13.3942
131,-1.02853,0.168296,-1.29825,14.2146,14.2146
132,-1.01282,0.24483,-0.760899,15.0687,15.0687
133,-0.991955,0.227785,-0.305917,15.7568,15.7568
134,-0.969886,0.314075,-0.453518,15.7608,15.7608
135,-0.936368,0.397542,-0.551119,15.8817,15.8817
136,-0.798891,0.637049,-0.945434,16.2764,16.2764
137,-0.629053,0.698192,-1.23867,16.4099,16.4099
138,-0.603896,0.82578,-0.98143,17.1375,17.1375
139,-0.573654,0.689032,-0.722561,17.0004,17.0004
140,-0.543358,0.33561,-0.578055,16.1801,16.1801
141,-0.541637,-0.0665121,-0.462881,15.3866,15.3866
142,-0.546632,-0.435652,-0.521179,14.5629,14.5629
143,-0.625338,-0.491309,-0.54569,14.2993,14.2993
144,-0.692264,-0.528374,-0.537718,14.1459,14.1459
145,-0.825097,-0.528324,-0.483545,14.0464,14.0464
146,-0.92904,-0.448269,-0.659484,13.7522,13.7522
147,-1.00249,-0.29249,-0.908971,13.5948,13.5948
148,-1.05553,0.00958249,-1.74229,13.3667,13.3667
149,-1.00318,-0.0038283,-1.95243,13.2462,13.2462
150,-1.0361,-0.110169,-0.879184,13.9921,13.9921
151,-0.903637,0.220052,-0.339071,15.7793,15.7793
152,-0.62449,0.595089,-1.46387,15.88,15.88
153,-0.374557,0.164879,-1.2758,15.1836,15.1836
154,-0.105556,-0.433583,-1.00948,14.7194,14.7194
155,-0.0255189,-0.0580422,-0.865316,15.7859,15.7859
156,0.0644478,0.296353,-0.781651,16.898,16.898
157,-0.196746,0.933298,-0.971986,18.1438,18.1438
158,-0.453764,0.780495,-0.717128,17.4819,17.4819
159,-0.683419,0.0948906,-0.307513,15.8073,15.8073
160,-0.760748,-0.414517,-0.436905,14.4194,14.4194
161,-0.834758,-0.585491,-0.878584,13.3079,13.3079
162,-0.899199,-0.404541,-1.4785,12.8473,12.8473
163,-0.949569,-0.270744,-1.55797,12.9858,12.9858
164,-0.993895,-0.134186,-1.72129,13.1018,13.1018
165,-1.00192,-0.140809,-1.78625,13.0241,13.0241
166,-1.00493,-0.148139,-1.75254,13.0288,13.0288
167,-0.984941,-0.27995,-0.595955,14.1084,14.1084
168,-0.948981,0.168595,-0.236315,15.7825,15.7825
169,-0.90626,0.464693,-1.32998,15.2032,15.2032
170,-0.900342,0.520951,-0.975829,15.7452,15.7452
171,-0.892321,0.520004,-0.737378,16.0391,16.0391
172,-0.953713,0.394643,-1.33403,14.9251,14.9251
173,-0.998863,0.180587,-1.78552,13.8701,13.8701
174,-1.02506,0.16746,-1.56804,13.9704,13.9704
175,-1.03962,0.0927567,-1.30095,13.9954,13.9954
176,-1.04238,-0.0110437,-0.994586,14.0705,14.0705
177,-1.0272,-0.123948,-1.15736,13.626,13.626
178,-1.01078,-0.216286,-1.20737,13.3795,13.3795
179,-0.960673,-0.263405,-0.298322,14.6974,14.6974
180,-0.878387,0.098743,-0.161869,15.8388,15.8388
181,-0.768636,0.604843,-0.666115,16.5469,16.5469
182,-0.149767,0.957042,-1.03653,18.2489,18.2489
183,0.513598,0.663965,-0.73377,19.0089,19.0089
184,0.681133,0.59847,-0.76575,19.2501,19.2501
