t,accCmpX,accCmpY,accCmpZ
167,11.558,1.13839,-19.102
168,-1.12399,-6.39353,-8.50335
169,-1.98505,5.87937,-8.20581
170,11.4997,-3.26481,-16.7774
171,9.43843,-4.55089,-15.2482
172,6.38782,-6.39719,-13.3669
173,2.72102,-7.20845,-11.1902
174,-1.0183,-6.84197,-9.05513
175,-4.27537,-5.3278,-7.28102
176,-7.45334,-0.835747,-14.3234
177,-6.48746,-0.483527,-17.0765
178,-1.44778,-8.36271,-9.15836
179,5.54677,-3.96916,-11.6009
180,10.9386,3.26745,-15.785
181,9.1734,-6.34951,-13.869
182,-1.83428,-8.58502,-12.8731
183,-7.81146,0.358184,-19.4916
184,-0.679376,0.551592,-14.3501
185,10.073,-2.74743,-4.67267
186,10.1631,0.242488,-3.9411
187,0.400251,-5.13186,-13.4289
188,-7.59554,-1.95968,-15.6764
189,-4.39139,7.83234,-10.855
190,6.13637,6.43618,-15.379
191,10.7817,1.30716,-19.6458
192,11.1293,1.26134,-19.8393
193,7.03561,6.48768,-14.4537
194,0.528448,9.94642,-10.6156
195,-5.35692,6.77148,-13.2738
196,-7.24692,-3.3537,-6.74187
197,2.40754,0.144569,-12.6982
198,11.0648,2.22267,-17.3505
199,7.31065,-7.51286,-10.0922
200,-4.03239,-2.435,-17.2801
201,-7.35833,-3.09911,-8.83432
202,-8.16276,0.403498,-2.32012
203,-6.495,-4.54205,-14.1984
204,-2.9923,3.63127,-15.9175
205,1.38478,9.86112,-11.5186
206,8.43334,6.42725,-14.1089
207,11.2778,0.0724783,-16.4644
208,8.05728,-5.07431,-15.3402
209,0.791772,-5.8751,-10.3713
210,-6.04211,-2.84602,-4.3828
211,-7.9068,2.13954,-4.30976
212,-8.29868,-0.476552,-14.386
213,-7.29587,-0.0755248,-20.4349
214,-5.16764,6.79035,-14.7583
215,-2.29538,7.15612,-9.21681
216,-6.00382,-3.41873,-5.65342
217,-8.1257,-1.70355,-16.2818
218,-8.04611,-0.665247,-20.5332
219,-5.57611,-6.39251,-10.0179
220,-1.16588,1.31913,-9.15043
221,1.04198,10.1886,-10.9273
222,3.47586,3.88012,-8.99441
223,5.91351,-6.67325,-8.36912
224,8.14312,-4.8863,-15.4196
225,9.91694,2.61992,-18.6085
226,11.094,1.33361,-6.31274
227,10.8038,1.79855,-3.60596
228,8.88603,5.17067,-16.0464
229,5.48809,-5.7176,-14.3845
230,1.12485,-6.63261,-11.5003
231,-0.756951,2.19356,-15.2088
232,-2.58764,8.56332,-14.5684
233,-4.31553,6.67335,-9.86216
234,-5.85271,-0.116942,-5.98464
235,-7.10851,-4.11591,-8.81815
236,-6.66273,5.32131,-13.9966
237,3.17389,-0.422975,-7.85361
238,10.9564,-1.47538,-6.22543
239,7.2571,6.53355,-13.4891
240,-3.60582,-1.32996,-4.72557
241,-2.06704,-2.83561,-6.10453
242,-0.4777,-3.54594,-7.66299
243,1.16569,-4.1903,-9.20693
244,2.81632,-4.71491,-10.6713
245,4.4271,-5.07054,-11.9956
246,-8.15568,-0.533088,-9.4527
247,2.23882,6.0464,-8.97418
248,11.0458,1.69651,-0.833783
249,-2.86827,9.2723,-10.3415
250,-6.0344,-3.69615,-4.14039
251,2.13818,-3.40332,-9.32594
252,9.85931,0.393753,-17.0449
253,10.6944,-1.91891,-16.6875
254,3.90019,-7.87593,-10.1425
255,-4.85062,-7.35944,-7.61145
256,-4.99457,-6.17349,-6.12493
257,-5.17251,-5.23185,-4.73749
258,-5.34518,-4.04731,-3.49117
259,-5.51252,-2.6927,-2.46276
260,-5.67454,-1.24699,-1.71982
261,-2.48026,0.919379,-5.6658
262,1.39032,4.25511,-9.54416
263,5.30301,6.54426,-12.3926
264,0.902066,6.55283,-8.68753
265,-3.31549,4.99887,-5.05741
266,-6.17125,2.90807,-2.21169
267,-7.87333,1.21276,-0.171745
268,-7.47437,0.862685,-1.33402
269,-6.85847,0.523079,-1.87711
270,-6.08737,-0.0476225,-2.65956
271,10.3926,3.16024,-14.2251
272,0.976725,-9.47039,-7.99479
273,0.169856,-9.47905,-10.7636
274,-0.698243,-9.01308,-10.2978
275,0.475396,-9.1341,-9.10838
276,1.64482,-8.9038,-9.09579
277,2.81286,-7.91906,-8.50889
278,9.99083,-3.16802,-3.4458
279,10.0077,3.63204,-2.47893
280,10.9915,1.31825,-1.267
281,11.0424,0.0923958,-0.27197
282,10.174,0.297296,-0.751956
283,8.3056,2.76102,-3.2102
284,5.91344,6.40204,-6.51887
285,6.83931,6.83163,-5.76238
286,7.73089,6.82112,-6.09878
287,3.25091,9.75876,-10.2344
288,-1.80156,7.19967,-7.99908
289,-6.10242,1.76776,-2.93837
290,-8.4807,-0.52341,-1.05596
291,-8.80406,-0.0631182,-1.0767
292,-8.68927,1.22512,-2.51349
293,-7.81462,4.1859,-5.48947
294,-5.94972,7.08233,-8.44063
295,-6.69275,5.84174,-13.4461
296,-7.35296,2.82834,-17.1763
297,-7.89644,-0.0979793,-18.5852
298,-5.37664,-3.78146,-13.4718
299,-1.73134,-7.90617,-9.50246
300,-2.16472,-8.3215,-10.8809
301,-2.51382,-8.37784,-10.8689
302,0.869821,-9.73892,-9.44045
303,4.31124,-8.15962,-10.9871
304,4.10225,-7.85418,-10.0822
305,4.21594,-7.84136,-10.1072
306,-1.815,-9.01972,-9.62081
307,-7.00166,-6.11002,-9.20853
308,-9.25395,-0.470601,-10.2945
