t,velX,velY,velZ,velAir,vel
7322,-0.967763,0.0207587,-0.248686,15.3865,15.3865
7323,-0.830645,-0.100009,-0.0842572,15.6159,15.6159
7324,-0.431021,0.369325,-0.50952,16.5407,16.5407
7325,0.140008,0.573411,-1.08827,17.4936,17.4936
7326,0.669492,0.526508,-1.45001,18.4309,18.4309
7327,0.461988,0.0231571,-1.48713,16.5842,16.5842
7328,0.210602,-0.652455,-1.17924,14.9498,14.9498
7329,-0.0580165,-0.953626,-1.03992,14.0117,14.0117
7330,-0.941953,-0.133143,-1.55368,13.3154,13.3154
7331,-0.425532,0.15204,-1.36961,14.9756,14.9756
7332,-0.304019,0.171303,-1.26467,15.3371,15.3371
7333,-0.169164,0.190569,-1.13135,15.7704,15.7704
7334,-0.0306446,0.207068,-0.995087,16.2328,16.2328
7335,0.295475,0.131769,-0.689278,17.1554,17.1554
7336,0.588562,0.0650951,-0.395343,18.194,18.194
7337,0.412349,-0.0506808,-0.571775,17.2311,17.2311
7338,0.227143,-0.230913,-0.763906,16.1602,16.1602
7339,0.0332835,-0.406707,-0.951506,15.1485,15.1485
7340,-0.420126,-0.520025,-1.31007,13.5942,13.5942
7341,-0.777256,-0.420511,-1.49037,12.9868,12.9868
7342,-0.644471,-0.6251,-1.26668,13.0527,13.0527
7343,-0.484164,-0.78976,-1.10614,13.2585,13.2585
7344,-0.805481,-0.459055,-1.52724,12.8319,12.8319
7345,-0.968095,-0.110298,-1.80346,13.1304,13.1304
7346,-0.949374,0.104618,-1.91883,13.6291,13.6291
7347,-0.795303,0.281649,-1.73725,14.4629,14.4629
7348,-0.524921,0.429116,-1.48586,15.4869,15.4869
7349,-0.666676,0.330796,-1.46639,14.9985,14.9985
7350,-0.789291,0.243324,-1.59194,14.4709,14.4709
7351,-0.884668,0.159679,-1.69539,14.0265,14.0265
7352,-0.833254,-0.101049,-1.70119,13.4207,13.4207
7353,-0.772867,-0.421421,-1.44443,13.036,13.036
7354,-0.980713,-0.0501953,-1.77767,13.2823,13.2823
7355,-0.797477,0.335513,-1.6565,14.6778,14.6778
7356,-0.293342,0.549807,-1.27791,16.4082,16.4082
7357,-0.800216,0.309967,-1.69434,14.5703,14.5703
7358,-0.949065,-0.00429778,-1.88429,13.3636,13.3636
7359,-0.179766,-0.454406,-1.18692,14.3244,14.3244
7360,0.86495,-0.269797,-0.357964,18.5229,18.5229
7361,0.742359,0.515609,-0.524458,19.4878,19.4878
7362,0.505146,0.563115,-0.664423,18.7821,18.7821
7363,0.745021,0.350824,-0.272415,19.4402,19.4402
7364,0.917687,0.153987,-0.0642735,19.8951,19.8951
7365,0.990183,0.0154926,0.0506208,20.0822,20.0822
7366,-0.511206,0.0532805,-1.4851,14.4792,14.4792
7367,-0.40358,-0.42189,-1.33792,13.7768,13.7768
7368,-0.155617,0.000823692,-1.21705,15.2594,15.2594
7369,0.100007,0.441938,-0.972505,17.1459,17.1459
7370,-0.0131787,0.0268417,-1.16193,15.6735,15.6735
7371,-0.126998,-0.414196,-1.26238,14.4327,14.4327
7372,-0.238412,-0.745651,-1.2906,13.612,13.612
7373,-0.141516,-0.776785,-1.04469,14.0534,14.0534
7374,-0.0483068,-0.781011,-0.988453,14.3285,14.3285
7375,0.0456109,-0.777949,-0.930866,14.6283,14.6283
7376,-0.19313,-0.647452,-1.08587,14.0862,14.0862
7377,-0.749764,-0.212907,-1.71472,13.2746,13.2746
7378,-0.985097,0.0158973,-1.99944,13.2905,13.2905
7379,-0.799164,-0.196629,-1.75754,13.2024,13.2024
7380,-0.800413,-0.0479286,-1.75225,13.5586,13.5586
7381,0.289981,-0.478702,-0.7057,15.9793,15.9793
7382,0.939219,-0.169439,-0.313605,19.0034,19.0034
7383,0.69876,0.366713,-0.533745,18.9823,18.9823
7384,-0.211283,0.570489,-1.26132,16.6312,16.6312
7385,-0.503484,0.445736,-1.42967,15.6161,15.6161
7386,-0.740768,0.278276,-1.67017,14.5787,14.5787
7387,-0.168864,0.15164,-1.1955,15.6109,15.6109
7388,0.470406,-0.129077,-0.564842,17.2509,17.2509
7389,0.891982,-0.149669,-0.241826,18.9812,18.9812
7390,0.91566,-0.106727,-0.105557,19.3509,19.3509
7391,0.934592,-0.062236,-0.0608984,19.5648,19.5648
7392,0.947704,-0.028132,-0.0266067,19.7262,19.7262
7393,0.945132,-0.0711717,-0.0903241,19.536,19.536
7394,0.9355,-0.125755,-0.185794,19.2568,19.2568
7395,0.686587,-0.400459,-0.399061,17.6789,17.6789
7396,0.249506,-0.541108,-0.757897,15.708,15.708
7397,-0.262491,-0.536917,-1.18583,14.0088,14.0088
7398,-0.709901,-0.394324,-1.5659,13.0766,13.0766
7399,-0.970806,-0.156731,-1.79268,13.0227,13.0227
7400,-0.905872,-0.216058,-1.66993,13.0725,13.0725
7401,-0.813801,-0.278541,-1.60052,13.1266,13.1266
7402,-0.695568,-0.325096,-1.50487,13.2969,13.2969
