timestamp(ms),SCALED_IMU3.xacc*9.81*0.001,SCALED_IMU3.yacc*9.81*0.001,SCALED_IMU3.zacc*9.81*0.001
-46.883056640625,-0.4905,-2.54079,-9.46665
53.116943359375,-0.5199300000000001,-2.5505999999999998,-9.46665
153.116943359375,-0.5199300000000001,-2.5505999999999998,-9.46665
253.116943359375,-0.4905,-2.54079,-9.476460000000001
353.116943359375,-0.4905,-2.54079,-9.476460000000001
453.116943359375,-0.50031,-2.52117,-9.46665
553.116943359375,-0.50031,-2.52117,-9.46665
653.116943359375,-0.50031,-2.52117,-9.46665
753.116943359375,-0.51012,-2.54079,-9.46665
853.116943359375,-0.51012,-2.54079,-9.46665
953.116943359375,-0.4905,-2.54079,-9.476460000000001
1053.116943359375,-0.4905,-2.54079,-9.476460000000001
1153.116943359375,-0.4905,-2.54079,-9.476460000000001
1253.116943359375,-0.51012,-2.53098,-9.45684
1353.116943359375,-0.51012,-2.5505999999999998,-9.496080000000001
1453.116943359375,-0.51012,-2.5505999999999998,-9.496080000000001
1553.116943359375,-0.51012,-2.5505999999999998,-9.496080000000001
1653.116943359375,-0.51012,-2.5505999999999998,-9.496080000000001
1753.116943359375,-0.51012,-2.54079,-9.46665
1853.116943359375,-0.50031,-2.5505999999999998,-9.46665
1953.116943359375,-0.50031,-2.5505999999999998,-9.46665
2053.116943359375,-0.50031,-2.5505999999999998,-9.46665
2153.116943359375,-0.50031,-2.52117,-9.476460000000001
2253.116943359375,-0.50031,-2.52117,-9.476460000000001
2353.116943359375,-0.50031,-2.52117,-9.476460000000001
2453.116943359375,-0.50031,-2.52117,-9.476460000000001
2553.116943359375,-0.50031,-2.54079,-9.476460000000001
2653.116943359375,-0.51012,-2.54079,-9.447030000000002
2753.116943359375,-0.51012,-2.54079,-9.447030000000002
2853.116943359375,-0.51012,-2.54079,-9.447030000000002
2953.116943359375,-0.51012,-2.5505999999999998,-9.45684
3053.116943359375,-0.51012,-2.5505999999999998,-9.45684
3153.116943359375,-0.51012,-2.5505999999999998,-9.45684
3253.116943359375,-0.51012,-2.5505999999999998,-9.45684
3353.116943359375,-0.51012,-2.5505999999999998,-9.45684
