timestamp(ms),GPS_RAW_INT.vel
109.822021484375,6
209.822021484375,0
309.822021484375,0
409.822021484375,3
509.822021484375,3
609.822021484375,3
709.822021484375,3
809.822021484375,3
909.822021484375,3
1009.822021484375,3
1109.822021484375,3
1209.822021484375,6
1309.822021484375,6
1409.822021484375,6
1509.822021484375,6
1609.822021484375,6
1709.822021484375,4
1809.822021484375,4
1909.822021484375,8
2009.822021484375,8
2109.822021484375,8
2209.822021484375,4
2309.822021484375,4
2409.822021484375,4
2509.822021484375,3
2609.822021484375,0
2709.822021484375,0
2809.822021484375,0
2909.822021484375,0
3009.822021484375,12
3109.822021484375,12
3209.822021484375,12
3309.822021484375,12
3409.822021484375,12
3509.822021484375,12
3609.822021484375,12
3709.822021484375,12
3809.822021484375,12
3909.822021484375,12
4009.822021484375,5
4109.822021484375,5
4209.822021484375,5
4309.822021484375,5
4409.822021484375,5
4509.822021484375,5
4609.822021484375,5
4709.822021484375,5
4809.822021484375,5
4909.822021484375,5
5009.822021484375,3
5109.822021484375,3
5209.822021484375,3
5309.822021484375,3
5409.822021484375,3
5509.822021484375,3
5609.822021484375,3
5709.822021484375,3
5809.822021484375,3
5909.822021484375,3
6009.822021484375,6
6109.822021484375,6
6209.822021484375,6
6309.822021484375,6
6409.822021484375,6
6509.822021484375,6
6609.822021484375,6
6709.822021484375,6
6809.822021484375,6
6909.822021484375,6
7009.822021484375,6
7109.822021484375,2
7209.822021484375,2
7309.822021484375,2
7409.822021484375,2
7509.822021484375,2
7609.822021484375,2
7709.822021484375,2
7809.822021484375,2
7909.822021484375,2
8009.822021484375,2
8109.822021484375,4
8209.822021484375,4
8309.822021484375,4
8409.822021484375,4
8509.822021484375,4
8609.822021484375,4
8709.822021484375,4
8809.822021484375,4
8909.822021484375,4
9009.822021484375,4
9109.822021484375,4
9209.822021484375,0
9309.822021484375,0
9409.822021484375,0
9509.822021484375,0
9609.822021484375,0
9709.822021484375,0
9809.822021484375,0
9909.822021484375,0
10009.822021484375,0
10109.822021484375,0
10209.822021484375,1
10309.822021484375,1
10409.822021484375,1
10509.822021484375,1
10609.822021484375,1
10709.822021484375,1
10809.822021484375,1
10909.822021484375,1
11009.822021484375,1
11109.822021484375,1
11209.822021484375,3
11309.822021484375,3
11409.822021484375,3
11509.822021484375,3
11609.822021484375,3
11709.822021484375,3
11809.822021484375,3
11909.822021484375,3
12009.822021484375,3
12109.822021484375,3
12209.822021484375,3
12309.822021484375,5
12409.822021484375,5
12509.822021484375,5
12609.822021484375,5
12709.822021484375,5
12809.822021484375,5
12909.822021484375,5
13009.822021484375,5
13109.822021484375,5
13209.822021484375,5
13309.822021484375,5
13409.822021484375,5
13509.822021484375,5
13609.822021484375,5
13709.822021484375,5
13809.822021484375,5
13909.822021484375,5
14009.822021484375,5
14109.822021484375,5
14209.822021484375,5
14309.822021484375,4
14409.822021484375,4
14509.822021484375,4
14609.822021484375,4
14709.822021484375,4
14809.822021484375,4
14909.822021484375,4
15009.822021484375,4
15109.822021484375,4
15209.822021484375,4
15309.822021484375,4
15409.822021484375,6
15509.822021484375,6
15609.822021484375,6
15709.822021484375,6
15809.822021484375,6
15909.822021484375,6
16009.822021484375,6
16109.822021484375,6
16209.822021484375,6
16309.822021484375,6
16409.822021484375,7
16509.822021484375,7
16609.822021484375,7
16709.822021484375,7
16809.822021484375,7
16909.822021484375,7
17009.822021484375,7
