timestamp(ms),degrees(SCALED_IMU3.xgyro*0.001),degrees(SCALED_IMU3.ygyro*0.001),degrees(SCALED_IMU3.zgyro*0.001)
-46.883056640625,-0.286479,0,-0.1145916
53.116943359375,-0.2291832,0,-0.1718874
153.116943359375,-0.2291832,0,-0.1718874
253.116943359375,-0.1145916,0,-0.1145916
353.116943359375,-0.1145916,0,-0.1145916
453.116943359375,-0.1145916,0,-0.1145916
553.116943359375,-0.1145916,0,-0.1145916
653.116943359375,-0.1145916,0,-0.1145916
753.116943359375,-0.1718874,-0.0572958,-0.1145916
853.116943359375,-0.1718874,-0.0572958,-0.1145916
953.116943359375,-0.1718874,0,-0.1145916
1053.116943359375,-0.1718874,0,-0.1145916
1153.116943359375,-0.1718874,0,-0.1145916
1253.116943359375,-0.2291832,0,-0.1718874
1353.116943359375,-0.1718874,0,-0.1145916
1453.116943359375,-0.1718874,0,-0.1145916
1553.116943359375,-0.1718874,0,-0.1145916
1653.116943359375,-0.1718874,0,-0.1145916
1753.116943359375,-0.1718874,0,-0.0572958
1853.116943359375,-0.286479,0,-0.1145916
1953.116943359375,-0.286479,0,-0.1145916
2053.116943359375,-0.286479,0,-0.1145916
2153.116943359375,-0.1145916,0,-0.1718874
2253.116943359375,-0.1145916,0,-0.1718874
2353.116943359375,-0.1145916,0,-0.1718874
2453.116943359375,-0.1145916,0,-0.1718874
2553.116943359375,-0.2291832,-0.0572958,-0.1145916
2653.116943359375,-0.3437748,0,-0.1145916
2753.116943359375,-0.3437748,0,-0.1145916
2853.116943359375,-0.3437748,0,-0.1145916
2953.116943359375,-0.1718874,0,-0.1145916
3053.116943359375,-0.1718874,0,-0.1145916
3153.116943359375,-0.1718874,0,-0.1145916
3253.116943359375,-0.1718874,0,-0.1145916
3353.116943359375,-0.1718874,0,-0.1145916
3453.116943359375,-0.1718874,0,-0.1145916
3553.116943359375,-0.1718874,0,-0.1145916
3653.116943359375,-0.1718874,0,-0.1145916
3753.116943359375,-0.1718874,0,-0.1145916
3853.116943359375,-0.2291832,0,-0.1145916
3953.116943359375,-0.2291832,0,-0.1145916
4053.116943359375,-0.2291832,0,-0.1145916
4153.116943359375,-0.2291832,0,-0.1145916
4253.116943359375,-0.2291832,0,-0.1145916
4353.116943359375,-0.2291832,0,-0.1145916
4453.116943359375,-0.2291832,0,-0.1145916
4553.116943359375,-0.2291832,0,-0.1145916
4653.116943359375,-0.2291832,0,-0.1145916
4753.116943359375,-0.2291832,0,-0.1145916
4853.116943359375,-0.2291832,0,-0.1145916
4953.116943359375,-0.2291832,0,-0.1145916
5053.116943359375,-0.2291832,0,-0.1145916
5153.116943359375,-0.2291832,0,-0.1145916
5253.116943359375,-0.2291832,0,-0.1145916
5353.116943359375,-0.2291832,0,-0.1145916
5453.116943359375,-0.2291832,0,-0.1145916
5553.116943359375,-0.2291832,0,-0.1145916
5653.116943359375,-0.2291832,0,-0.1145916
5753.116943359375,-0.2291832,0,-0.1145916
5853.116943359375,-0.2291832,0,-0.1145916
5953.116943359375,-0.1718874,0,-0.1145916
6053.116943359375,-0.1718874,0,-0.1145916
6153.116943359375,-0.1718874,0,-0.1145916
6253.116943359375,-0.1718874,0,-0.1145916
6353.116943359375,-0.1718874,0,-0.1145916
6453.116943359375,-0.1718874,0,-0.1145916
6553.116943359375,-0.1718874,0,-0.1145916
6653.116943359375,-0.1718874,0,-0.1145916
6753.116943359375,-0.1718874,0,-0.1145916
6853.116943359375,-0.1718874,0,-0.1145916
6953.116943359375,-0.1718874,0,-0.1145916
7053.116943359375,-0.2291832,0,-0.1145916
7153.116943359375,-0.2291832,0,-0.1145916
7253.116943359375,-0.2291832,0,-0.1145916
7353.116943359375,-0.2291832,0,-0.1145916
7453.116943359375,-0.2291832,0,-0.1145916
7553.116943359375,-0.2291832,0,-0.1145916
7653.116943359375,-0.2291832,0,-0.1145916
7753.116943359375,-0.2291832,0,-0.1145916
7853.116943359375,-0.2291832,0,-0.1145916
7953.116943359375,-0.2291832,0,-0.1145916
8053.116943359375,-0.1718874,0,-0.0572958
8153.116943359375,-0.1718874,0,-0.0572958
8253.116943359375,-0.1718874,0,-0.0572958
8353.116943359375,-0.1718874,0,-0.0572958
8453.116943359375,-0.1718874,0,-0.0572958
8553.116943359375,-0.1718874,0,-0.0572958
8653.116943359375,-0.1718874,0,-0.0572958
8753.116943359375,-0.1718874,0,-0.0572958
8853.116943359375,-0.1718874,0,-0.0572958
8953.116943359375,-0.1718874,0,-0.0572958
9053.116943359375,-0.1145916,0,-0.1718874
9153.116943359375,-0.1145916,0,-0.1718874
9253.116943359375,-0.1145916,0,-0.1718874
9353.116943359375,-0.1145916,0,-0.1718874
9453.116943359375,-0.1145916,0,-0.1718874
9553.116943359375,-0.1145916,0,-0.1718874
9653.116943359375,-0.1145916,0,-0.1718874
9753.116943359375,-0.1145916,0,-0.1718874
9853.116943359375,-0.1145916,0,-0.1718874
9953.116943359375,-0.1145916,0,-0.1718874
10053.116943359375,-0.1718874,0,-0.0572958
10153.116943359375,-0.1718874,0,-0.0572958
10253.116943359375,-0.1718874,0,-0.0572958
10353.116943359375,-0.1718874,0,-0.0572958
10453.116943359375,-0.1718874,0,-0.0572958
10553.116943359375,-0.1718874,0,-0.0572958
10653.116943359375,-0.1718874,0,-0.0572958
10753.116943359375,-0.1718874,0,-0.0572958
10853.116943359375,-0.1718874,0,-0.0572958
10953.116943359375,-0.1718874,0,-0.0572958
11053.116943359375,-0.1718874,-0.0572958,-0.0572958
11153.116943359375,-0.1718874,-0.0572958,-0.0572958
11253.116943359375,-0.1718874,-0.0572958,-0.0572958
11353.116943359375,-0.1718874,-0.0572958,-0.0572958
11453.116943359375,-0.1718874,-0.0572958,-0.0572958
11553.116943359375,-0.1718874,-0.0572958,-0.0572958
11653.116943359375,-0.1718874,-0.0572958,-0.0572958
11753.116943359375,-0.1718874,-0.0572958,-0.0572958
11853.116943359375,-0.1718874,-0.0572958,-0.0572958
11953.116943359375,-0.1718874,-0.0572958,-0.0572958
12053.116943359375,-0.1145916,0,-0.1145916
12153.116943359375,-0.1145916,0,-0.1145916
12253.116943359375,-0.1145916,0,-0.1145916
12353.116943359375,-0.1145916,0,-0.1145916
12453.116943359375,-0.1145916,0,-0.1145916
12553.116943359375,-0.1145916,0,-0.1145916
12653.116943359375,-0.1145916,0,-0.1145916
12753.116943359375,-0.1145916,0,-0.1145916
12853.116943359375,-0.1145916,0,-0.1145916
12953.116943359375,-0.1145916,0,-0.1145916
13053.116943359375,-0.1145916,0,-0.1145916
13153.116943359375,-0.1145916,0,-0.1145916
13253.116943359375,-0.2291832,0,-0.1145916
13353.116943359375,-0.2291832,0,-0.1145916
13453.116943359375,-0.2291832,0,-0.1145916
13553.116943359375,-0.2291832,0,-0.1145916
13653.116943359375,-0.2291832,0,-0.1145916
13753.116943359375,-0.2291832,0,-0.1145916
13853.116943359375,-0.2291832,0,-0.1145916
13953.116943359375,-0.2291832,0,-0.1145916
14053.116943359375,-0.2291832,0,-0.1145916
14153.116943359375,-0.2291832,0,-0.1145916
14253.116943359375,-0.2291832,0,-0.1145916
14353.116943359375,-0.2291832,0,-0.1145916
14453.116943359375,-0.2291832,0,-0.1145916
14553.116943359375,-0.2291832,0,-0.1145916
14653.116943359375,-0.2291832,0,-0.1145916
14753.116943359375,-0.2291832,0,-0.1145916
14853.116943359375,-0.2291832,0,-0.1145916
14953.116943359375,-0.2291832,0,-0.1145916
15053.116943359375,-0.2291832,0,-0.1145916
15153.116943359375,-0.2291832,0,-0.1145916
15253.116943359375,-0.2291832,0,-0.1145916
15353.116943359375,-0.2291832,0,-0.1145916
15453.116943359375,-0.2291832,0,-0.1145916
15553.116943359375,-0.2291832,0,-0.1145916
15653.116943359375,-0.2291832,0,-0.1145916
15753.116943359375,-0.2291832,0,-0.1145916
15853.116943359375,-0.2291832,0,-0.1145916
15953.116943359375,-0.2291832,0,-0.1145916
16053.116943359375,-0.2291832,0,-0.1145916
16153.116943359375,-0.2291832,0,-0.1145916
16253.116943359375,-0.1145916,0,-0.1145916
16353.116943359375,-0.1145916,0,-0.1145916
16453.116943359375,-0.1145916,0,-0.1145916
16553.116943359375,-0.1145916,0,-0.1145916
16653.116943359375,-0.1145916,0,-0.1145916
16753.116943359375,-0.1145916,0,-0.1145916
16853.116943359375,-0.1145916,0,-0.1145916
16953.116943359375,-0.1145916,0,-0.1145916
17053.116943359375,-0.1145916,0,-0.1145916
17153.116943359375,-0.1145916,0,-0.1145916
17253.116943359375,-0.1145916,0,-0.1145916
17353.116943359375,-0.2291832,0,-0.1145916
17453.116943359375,-0.2291832,0,-0.1145916
17553.116943359375,-0.2291832,0,-0.1145916
17653.116943359375,-0.2291832,0,-0.1145916
17753.116943359375,-0.2291832,0,-0.1145916
17853.116943359375,-0.2291832,0,-0.1145916
17953.116943359375,-0.2291832,0,-0.1145916
18053.116943359375,-0.2291832,0,-0.1145916
18153.116943359375,-0.2291832,0,-0.1145916
18253.116943359375,-0.1718874,0,-0.1145916
18353.116943359375,-0.1718874,0,-0.1145916
18453.116943359375,-0.1718874,0,-0.1145916
18553.116943359375,-0.1718874,0,-0.1145916
18653.116943359375,-0.1718874,0,-0.1145916
18753.116943359375,-0.1718874,0,-0.1145916
18853.116943359375,-0.1718874,0,-0.1145916
18953.116943359375,-0.1718874,0,-0.1145916
19053.116943359375,-0.1718874,0,-0.1145916
19153.116943359375,-0.1718874,0,-0.1145916
19253.116943359375,-0.1718874,0,-0.1145916
19353.116943359375,-0.286479,0,-0.1145916
19453.116943359375,-0.286479,0,-0.1145916
19553.116943359375,-0.286479,0,-0.1145916
19653.116943359375,-0.286479,0,-0.1145916
19753.116943359375,-0.286479,0,-0.1145916
19853.116943359375,-0.286479,0,-0.1145916
19953.116943359375,-0.286479,0,-0.1145916
20053.116943359375,-0.286479,0,-0.1145916
20153.116943359375,-0.286479,0,-0.1145916
20253.116943359375,-0.286479,0,-0.1145916
20353.116943359375,-0.1718874,0,-0.1145916
20453.116943359375,-0.1718874,0,-0.1145916
20553.116943359375,-0.1718874,0,-0.1145916
20653.116943359375,-0.1718874,0,-0.1145916
20753.116943359375,-0.1718874,0,-0.1145916
20853.116943359375,-0.1718874,0,-0.1145916
20953.116943359375,-0.1718874,0,-0.1145916
21053.116943359375,-0.1718874,0,-0.1145916
