timestamp(ms),WIND.direction,WIND.speed
-15.625,-180,0
84.375,-180,0
184.375,-180,0
284.375,-180,0
384.375,-180,0
484.375,-180,0
584.375,-180,0
684.375,-180,0
784.375,-180,0
884.375,-180,0
984.375,-180,0
1084.375,-180,0
1184.375,-180,0
1284.375,-180,0
1384.375,-180,0
1484.375,-180,0
1584.375,-180,0
1684.375,-180,0
1784.375,-180,0
1884.375,-180,0
1984.375,-180,0
2084.375,-180,0
2184.375,-180,0
2284.375,-180,0
2384.375,-180,0
2484.375,-180,0
2584.375,-180,0
2684.375,-180,0
2784.375,-180,0
2884.375,-180,0
2984.375,-180,0
3084.375,-180,0
3184.375,-180,0
3284.375,-180,0
3384.375,-180,0
3484.375,-180,0
3584.375,-180,0
3684.375,-180,0
3784.375,-180,0
3884.375,-180,0
3984.375,-180,0
4084.375,-180,0
4184.375,-180,0
4284.375,-180,0
4384.375,-180,0
4484.375,-180,0
4584.375,-180,0
4684.375,-180,0
4784.375,-180,0
4884.375,-180,0
4984.375,-180,0
5084.375,-180,0
5184.375,-180,0
5284.375,-180,0
5384.375,-180,0
5484.375,-180,0
5584.375,-180,0
5684.375,-180,0
5784.375,-180,0
5884.375,-180,0
5984.375,-180,0
6084.375,-180,0
6184.375,-180,0
6284.375,-180,0
6384.375,-180,0
6484.375,-180,0
6584.375,-180,0
6684.375,-180,0
6784.375,-180,0
6884.375,-180,0
6984.375,-180,0
7084.375,-180,0
7184.375,-180,0
7284.375,-180,0
7384.375,-180,0
7484.375,-180,0
7584.375,-180,0
7684.375,-180,0
7784.375,-180,0
7884.375,-180,0
7984.375,-180,0
8084.375,-180,0
8184.375,-180,0
8284.375,-180,0
8384.375,-180,0
8484.375,-180,0
8584.375,-180,0
8684.375,-180,0
8784.375,-180,0
8884.375,-180,0
8984.375,-180,0
9084.375,-180,0
9184.375,-180,0
9284.375,-180,0
9384.375,-180,0
9484.375,-180,0
9584.375,-180,0
9684.375,-180,0
9784.375,-180,0
9884.375,-180,0
9984.375,-180,0
10084.375,-180,0
10184.375,-180,0
10284.375,-180,0
10384.375,-180,0
10484.375,-180,0
10584.375,-180,0
10684.375,-180,0
10784.375,-180,0
10884.375,-180,0
10984.375,-180,0
11084.375,-180,0
11184.375,-180,0
11284.375,-180,0
11384.375,-180,0
11484.375,-180,0
11584.375,-180,0
11684.375,-180,0
11784.375,-180,0
11884.375,-180,0
11984.375,-180,0
12084.375,-180,0
12184.375,-180,0
12284.375,-180,0
12384.375,-180,0
12484.375,-180,0
12584.375,-180,0
12684.375,-180,0
12784.375,-180,0
12884.375,-180,0
12984.375,-180,0
13084.375,-180,0
13184.375,-180,0
13284.375,-180,0
13384.375,-180,0
13484.375,-180,0
13584.375,-180,0
13684.375,-180,0
13784.375,-180,0
13884.375,-180,0
13984.375,-180,0
14084.375,-180,0
14184.375,-180,0
14284.375,-180,0
14384.375,-180,0
14484.375,-180,0
14584.375,-180,0
14684.375,-180,0
14784.375,-180,0
14884.375,-180,0
14984.375,-180,0
15084.375,-180,0
15184.375,-180,0
15284.375,-180,0
15384.375,-180,0
15484.375,-180,0
15584.375,-180,0
15684.375,-180,0
15784.375,-180,0
15884.375,-180,0
15984.375,-180,0
16084.375,-180,0
16184.375,-180,0
16284.375,-180,0
16384.375,-180,0
16484.375,-180,0
16584.375,-180,0
16684.375,-180,0
16784.375,-180,0
16884.375,-180,0
16984.375,-180,0
17084.375,-180,0
17184.375,-180,0
17284.375,-180,0
17384.375,-180,0
17484.375,-180,0
17584.375,-180,0
17684.375,-180,0
17784.375,-180,0
17884.375,-180,0
17984.375,-180,0
18084.375,-180,0
18184.375,-180,0
18284.375,-180,0
18384.375,-180,0
18484.375,-180,0
18584.375,-180,0
18684.375,-180,0
18784.375,-180,0
18884.375,-180,0
18984.375,-180,0
19084.375,-180,0
19184.375,-180,0
19284.375,-180,0
19384.375,-180,0
19484.375,-180,0
19584.375,-180,0
19684.375,-180,0
19784.375,-180,0
19884.375,-180,0
19984.375,-180,0
20084.375,-180,0
20184.375,-180,0
20284.375,-180,0
20384.375,-180,0
20484.375,-180,0
20584.375,-180,0
20684.375,-180,0
20784.375,-180,0
20884.375,-180,0
20984.375,-180,0
21084.375,-180,0
21184.375,-180,0
21284.375,-180,0
21384.375,-180,0
21484.375,-180,0
21584.375,-180,0
21684.375,-180,0
21784.375,-180,0
21884.375,-180,0
21984.375,-180,0
22084.375,-180,0
22184.375,-180,0
22284.375,-180,0
22384.375,-180,0
22484.375,-180,0
22584.375,-180,0
22684.375,-180,0
22784.375,-180,0
22884.375,-180,0
22984.375,-180,0
23084.375,-180,0
23184.375,-180,0
23284.375,-180,0
23384.375,-180,0
23484.375,-180,0
23584.375,-180,0
23684.375,-180,0
23784.375,-180,0
23884.375,-180,0
23984.375,-180,0
24084.375,-180,0
24184.375,-180,0
24284.375,-180,0
24384.375,-180,0
24484.375,-180,0
24584.375,-180,0
24684.375,-180,0
24784.375,-180,0
24884.375,-180,0
24984.375,-180,0
25084.375,-180,0
25184.375,-180,0
25284.375,-180,0
25384.375,-180,0
25484.375,-180,0
25584.375,-180,0
25684.375,-180,0
25784.375,-180,0
25884.375,-180,0
25984.375,-180,0
26084.375,-180,0
26184.375,-180,0
26284.375,-180,0
26384.375,-180,0
26484.375,-180,0
26584.375,-180,0
26684.375,-180,0
26784.375,-180,0
26884.375,-180,0
26984.375,-180,0
27084.375,-180,0
27184.375,-180,0
27284.375,-180,0
27384.375,-180,0
27484.375,-180,0
27584.375,-180,0
27684.375,-180,0
27784.375,-180,0
27884.375,-180,0
27984.375,-180,0
28084.375,-180,0
28184.375,-180,0
28284.375,-180,0
28384.375,-180,0
28484.375,-180,0
28584.375,-180,0
28684.375,-180,0
28784.375,-180,0
28884.375,-180,0
28984.375,-180,0
29084.375,-180,0
29184.375,-180,0
29284.375,-180,0
29384.375,-180,0
29484.375,-180,0
29584.375,-180,0
29684.375,-180,0
29784.375,-180,0
29884.375,-180,0
29984.375,-180,0
30084.375,-180,0
30184.375,-180,0
30284.375,-180,0
30384.375,-180,0
30484.375,-180,0
30584.375,-180,0
30684.375,-180,0
30784.375,-180,0
30884.375,-180,0
30984.375,-180,0
31084.375,-180,0
31184.375,-180,0
31284.375,-180,0
31384.375,-180,0
31484.375,-180,0
31584.375,-180,0
31684.375,-180,0
31784.375,-180,0
31884.375,-180,0
31984.375,-180,0
32084.375,-180,0
32184.375,-180,0
32284.375,-180,0
32384.375,-180,0
32484.375,-180,0
32584.375,-180,0
32684.375,-180,0
32784.375,-180,0
32884.375,-180,0
32984.375,-180,0
33084.375,-180,0
33184.375,-180,0
33284.375,-180,0
33384.375,-180,0
33484.375,-180,0
33584.375,-180,0
33684.375,-180,0
33784.375,-180,0
33884.375,-180,0
33984.375,-180,0
34084.375,-180,0
34184.375,-180,0
34284.375,-180,0
34384.375,-180,0
34484.375,-180,0
34584.375,-180,0
34684.375,-180,0
34784.375,-180,0
34884.375,-180,0
34984.375,-180,0
35084.375,-180,0
35184.375,-180,0
35284.375,-180,0
35384.375,-180,0
35484.375,-180,0
35584.375,-180,0
35684.375,-180,0
35784.375,-180,0
35884.375,-180,0
35984.375,-180,0
36084.375,-180,0
36184.375,-180,0
36284.375,-180,0
36384.375,-180,0
36484.375,-180,0
36584.375,-180,0
36684.375,-180,0
36784.375,-180,0
36884.375,-180,0
36984.375,-180,0
37084.375,-180,0
37184.375,-180,0
37284.375,-180,0
37384.375,-180,0
37484.375,-180,0
37584.375,-180,0
37684.375,-180,0
37784.375,-180,0
37884.375,-180,0
37984.375,-180,0
38084.375,-180,0
38184.375,-180,0
38284.375,-180,0
38384.375,-180,0
38484.375,-180,0
38584.375,-180,0
38684.375,-180,0
38784.375,-180,0
38884.375,-180,0
38984.375,-180,0
39084.375,-180,0
39184.375,-180,0
39284.375,-180,0
39384.375,-180,0
39484.375,-180,0
39584.375,-180,0
39684.375,-180,0
39784.375,-180,0
39884.375,-180,0
39984.375,-180,0
40084.375,-180,0
40184.375,-180,0
40284.375,-180,0
40384.375,-180,0
40484.375,-180,0
40584.375,-180,0
40684.375,-180,0
40784.375,-180,0
40884.375,-180,0
40984.375,-180,0
41084.375,-180,0
41184.375,-180,0
41284.375,-180,0
41384.375,-180,0
41484.375,-180,0
41584.375,-180,0
41684.375,-180,0
41784.375,-180,0
41884.375,-180,0
41984.375,-180,0
42084.375,-180,0
42184.375,-180,0
42284.375,-180,0
42384.375,-180,0
42484.375,-180,0
42584.375,-180,0
42684.375,-180,0
42784.375,-180,0
42884.375,-180,0
