timestamp(ms),NAV_CONTROLLER_OUTPUT.target_bearing
214355.30712890625,0
214455.30712890625,0
214555.30712890625,0
214655.30712890625,0
214755.30712890625,0
214855.30712890625,0
214955.30712890625,0
215055.30712890625,0
215155.30712890625,0
215255.30712890625,0
215355.30712890625,0
215455.30712890625,0
215555.30712890625,0
215655.30712890625,0
215755.30712890625,0
215855.30712890625,0
215955.30712890625,0
216055.30712890625,0
216155.30712890625,0
216255.30712890625,0
216355.30712890625,0
216455.30712890625,0
216555.30712890625,0
216655.30712890625,0
216755.30712890625,0
216855.30712890625,0
216955.30712890625,0
217055.30712890625,0
217155.30712890625,0
217255.30712890625,0
217355.30712890625,0
217455.30712890625,0
217555.30712890625,0
217655.30712890625,0
217755.30712890625,0
217855.30712890625,0
217955.30712890625,0
218055.30712890625,0
218155.30712890625,0
218255.30712890625,0
218355.30712890625,0
218455.30712890625,0
218555.30712890625,0
218655.30712890625,0
218755.30712890625,0
218855.30712890625,0
218955.30712890625,0
219055.30712890625,0
219155.30712890625,0
219255.30712890625,0
219355.30712890625,0
219455.30712890625,0
219555.30712890625,0
219655.30712890625,0
219755.30712890625,0
219855.30712890625,0
219955.30712890625,0
220055.30712890625,0
220155.30712890625,0
220255.30712890625,0
220355.30712890625,0
220455.30712890625,0
220555.30712890625,0
220655.30712890625,0
220755.30712890625,0
220855.30712890625,0
220955.30712890625,0
221055.30712890625,0
221155.30712890625,0
221255.30712890625,0
221355.30712890625,0
221455.30712890625,0
221555.30712890625,0
221655.30712890625,0
221755.30712890625,0
221855.30712890625,0
221955.30712890625,0
222055.30712890625,0
222155.30712890625,0
222255.30712890625,0
222355.30712890625,0
222455.30712890625,0
222555.30712890625,0
222655.30712890625,0
222755.30712890625,0
222855.30712890625,0
222955.30712890625,0
223055.30712890625,0
223155.30712890625,0
223255.30712890625,0
223355.30712890625,0
223455.30712890625,0
223555.30712890625,0
223655.30712890625,0
223755.30712890625,0
223855.30712890625,0
223955.30712890625,0
224055.30712890625,0
224155.30712890625,0
224255.30712890625,0
224355.30712890625,0
224455.30712890625,0
224555.30712890625,0
224655.30712890625,0
224755.30712890625,0
224855.30712890625,0
224955.30712890625,0
225055.30712890625,0
225155.30712890625,0
225255.30712890625,0
225355.30712890625,0
225455.30712890625,0
225555.30712890625,0
225655.30712890625,0
225755.30712890625,0
225855.30712890625,0
225955.30712890625,0
226055.30712890625,0
226155.30712890625,0
226255.30712890625,0
226355.30712890625,0
226455.30712890625,0
226555.30712890625,0
226655.30712890625,0
226755.30712890625,0
226855.30712890625,0
226955.30712890625,0
227055.30712890625,0
227155.30712890625,0
227255.30712890625,0
227355.30712890625,0
227455.30712890625,0
227555.30712890625,0
227655.30712890625,0
227755.30712890625,0
227855.30712890625,0
227955.30712890625,0
228055.30712890625,0
228155.30712890625,0
228255.30712890625,0
228355.30712890625,0
228455.30712890625,0
228555.30712890625,0
228655.30712890625,0
228755.30712890625,0
228855.30712890625,0
228955.30712890625,0
229055.30712890625,0
229155.30712890625,
229255.30712890625,
229355.30712890625,
229455.30712890625,
229555.30712890625,
229655.30712890625,
229755.30712890625,
229855.30712890625,
229955.30712890625,
230055.30712890625,
230155.30712890625,
230255.30712890625,
230355.30712890625,
230455.30712890625,
230555.30712890625,
230655.30712890625,
230755.30712890625,
230855.30712890625,
230955.30712890625,
231055.30712890625,
231155.30712890625,
231255.30712890625,
231355.30712890625,
231455.30712890625,
231555.30712890625,
231655.30712890625,
231755.30712890625,
231855.30712890625,
231955.30712890625,
232055.30712890625,
232155.30712890625,
232255.30712890625,
232355.30712890625,
232455.30712890625,
232555.30712890625,
232655.30712890625,
232755.30712890625,
232855.30712890625,
232955.30712890625,
233055.30712890625,
233155.30712890625,
233255.30712890625,
233355.30712890625,
233455.30712890625,
233555.30712890625,
233655.30712890625,
233755.30712890625,
233855.30712890625,
233955.30712890625,
234055.30712890625,
234155.30712890625,
234255.30712890625,
234355.30712890625,
234455.30712890625,
234555.30712890625,
234655.30712890625,
234755.30712890625,
234855.30712890625,
234955.30712890625,
235055.30712890625,
235155.30712890625,
235255.30712890625,
235355.30712890625,
235455.30712890625,
235555.30712890625,
235655.30712890625,
235755.30712890625,
235855.30712890625,
235955.30712890625,
236055.30712890625,
236155.30712890625,
236255.30712890625,
236355.30712890625,
236455.30712890625,
236555.30712890625,
236655.30712890625,
236755.30712890625,
236855.30712890625,
236955.30712890625,
237055.30712890625,
237155.30712890625,
237255.30712890625,
237355.30712890625,
237455.30712890625,
237555.30712890625,
237655.30712890625,
237755.30712890625,
237855.30712890625,
237955.30712890625,
238055.30712890625,
238155.30712890625,
238255.30712890625,
238355.30712890625,
238455.30712890625,
238555.30712890625,
238655.30712890625,
238755.30712890625,
238855.30712890625,
238955.30712890625,
239055.30712890625,
239155.30712890625,
239255.30712890625,
239355.30712890625,
239455.30712890625,
239555.30712890625,
239655.30712890625,
239755.30712890625,
239855.30712890625,
239955.30712890625,
240055.30712890625,
240155.30712890625,
240255.30712890625,
240355.30712890625,
240455.30712890625,
240555.30712890625,
240655.30712890625,
240755.30712890625,
240855.30712890625,
240955.30712890625,
241055.30712890625,
241155.30712890625,
241255.30712890625,
241355.30712890625,
241455.30712890625,
241555.30712890625,
241655.30712890625,
241755.30712890625,
241855.30712890625,
241955.30712890625,
242055.30712890625,
242155.30712890625,
242255.30712890625,
242355.30712890625,
242455.30712890625,
242555.30712890625,
242655.30712890625,
242755.30712890625,
242855.30712890625,
242955.30712890625,
243055.30712890625,
243155.30712890625,
243255.30712890625,
243355.30712890625,
243455.30712890625,
243555.30712890625,
243655.30712890625,
243755.30712890625,
243855.30712890625,
243955.30712890625,
244055.30712890625,
244155.30712890625,
244255.30712890625,
244355.30712890625,
244455.30712890625,
244555.30712890625,
244655.30712890625,
244755.30712890625,
244855.30712890625,
244955.30712890625,
245055.30712890625,
245155.30712890625,
245255.30712890625,
245355.30712890625,
245455.30712890625,
245555.30712890625,
245655.30712890625,
245755.30712890625,
245855.30712890625,
245955.30712890625,
246055.30712890625,
246155.30712890625,
246255.30712890625,
246355.30712890625,
246455.30712890625,
246555.30712890625,
246655.30712890625,
246755.30712890625,
246855.30712890625,
246955.30712890625,
247055.30712890625,
247155.30712890625,
247255.30712890625,
247355.30712890625,
247455.30712890625,
247555.30712890625,
247655.30712890625,
247755.30712890625,
247855.30712890625,
247955.30712890625,
248055.30712890625,
248155.30712890625,
248255.30712890625,
248355.30712890625,
248455.30712890625,
248555.30712890625,
248655.30712890625,
248755.30712890625,
248855.30712890625,
248955.30712890625,
249055.30712890625,
249155.30712890625,
249255.30712890625,
249355.30712890625,
249455.30712890625,
249555.30712890625,
249655.30712890625,
249755.30712890625,
249855.30712890625,
249955.30712890625,
250055.30712890625,
250155.30712890625,
250255.30712890625,
250355.30712890625,
250455.30712890625,
250555.30712890625,
250655.30712890625,
250755.30712890625,
250855.30712890625,
250955.30712890625,
251055.30712890625,
251155.30712890625,
251255.30712890625,
251355.30712890625,
251455.30712890625,
251555.30712890625,
251655.30712890625,
251755.30712890625,
251855.30712890625,
251955.30712890625,
252055.30712890625,
252155.30712890625,
252255.30712890625,
252355.30712890625,
252455.30712890625,
252555.30712890625,
252655.30712890625,
252755.30712890625,
252855.30712890625,
252955.30712890625,
253055.30712890625,
253155.30712890625,
253255.30712890625,
253355.30712890625,
253455.30712890625,
253555.30712890625,
253655.30712890625,
253755.30712890625,
253855.30712890625,
253955.30712890625,
254055.30712890625,
254155.30712890625,
254255.30712890625,
254355.30712890625,
254455.30712890625,
254555.30712890625,
254655.30712890625,
254755.30712890625,
254855.30712890625,
254955.30712890625,
255055.30712890625,
255155.30712890625,
255255.30712890625,
255355.30712890625,
255455.30712890625,
255555.30712890625,
255655.30712890625,
255755.30712890625,
255855.30712890625,
255955.30712890625,
256055.30712890625,
256155.30712890625,
256255.30712890625,
256355.30712890625,
256455.30712890625,
256555.30712890625,
256655.30712890625,
256755.30712890625,
256855.30712890625,
256955.30712890625,
257055.30712890625,
257155.30712890625,
257255.30712890625,
257355.30712890625,
257455.30712890625,
257555.30712890625,
257655.30712890625,
257755.30712890625,
257855.30712890625,
257955.30712890625,
258055.30712890625,
258155.30712890625,
258255.30712890625,
258355.30712890625,
258455.30712890625,
258555.30712890625,
258655.30712890625,
258755.30712890625,
258855.30712890625,
258955.30712890625,
259055.30712890625,
259155.30712890625,
259255.30712890625,
259355.30712890625,
259455.30712890625,
259555.30712890625,
