timestamp(ms),GPS_RAW_INT.lat,GPS_RAW_INT.lon
109.822021484375,485468691,351015168
209.822021484375,485468692,351015167
309.822021484375,485468692,351015167
409.822021484375,485468693,351015167
509.822021484375,485468693,351015167
609.822021484375,485468693,351015167
709.822021484375,485468693,351015168
809.822021484375,485468693,351015168
909.822021484375,485468694,351015170
1009.822021484375,485468694,351015170
1109.822021484375,485468694,351015170
1209.822021484375,485468694,351015171
1309.822021484375,485468694,351015171
1409.822021484375,485468696,351015173
1509.822021484375,485468696,351015173
1609.822021484375,485468696,351015173
1709.822021484375,485468696,351015174
1809.822021484375,485468696,351015174
1909.822021484375,485468695,351015175
2009.822021484375,485468695,351015175
2109.822021484375,485468695,351015175
2209.822021484375,485468694,351015176
2309.822021484375,485468694,351015176
2409.822021484375,485468694,351015176
2509.822021484375,485468694,351015175
2609.822021484375,485468695,351015175
2709.822021484375,485468695,351015175
2809.822021484375,485468695,351015175
2909.822021484375,485468695,351015175
3009.822021484375,485468696,351015178
3109.822021484375,485468696,351015178
3209.822021484375,485468696,351015178
3309.822021484375,485468696,351015178
3409.822021484375,485468696,351015178
3509.822021484375,485468696,351015178
3609.822021484375,485468696,351015178
3709.822021484375,485468696,351015178
3809.822021484375,485468696,351015178
3909.822021484375,485468696,351015178
4009.822021484375,485468697,351015181
4109.822021484375,485468697,351015181
4209.822021484375,485468697,351015181
4309.822021484375,485468697,351015181
4409.822021484375,485468697,351015181
4509.822021484375,485468697,351015181
4609.822021484375,485468697,351015181
4709.822021484375,485468697,351015181
4809.822021484375,485468697,351015181
4909.822021484375,485468697,351015181
5009.822021484375,485468698,351015184
5109.822021484375,485468698,351015184
5209.822021484375,485468698,351015184
5309.822021484375,485468698,351015184
5409.822021484375,485468698,351015184
5509.822021484375,485468698,351015184
5609.822021484375,485468698,351015184
5709.822021484375,485468698,351015184
5809.822021484375,485468698,351015184
5909.822021484375,485468698,351015184
6009.822021484375,485468698,351015188
6109.822021484375,485468698,351015188
6209.822021484375,485468698,351015188
6309.822021484375,485468698,351015188
6409.822021484375,485468698,351015188
6509.822021484375,485468698,351015188
6609.822021484375,485468698,351015188
6709.822021484375,485468698,351015188
6809.822021484375,485468698,351015188
6909.822021484375,485468698,351015188
7009.822021484375,485468698,351015188
7109.822021484375,485468701,351015190
7209.822021484375,485468701,351015190
7309.822021484375,485468701,351015190
7409.822021484375,485468701,351015190
7509.822021484375,485468701,351015190
7609.822021484375,485468701,351015190
7709.822021484375,485468701,351015190
7809.822021484375,485468701,351015190
7909.822021484375,485468701,351015190
8009.822021484375,485468701,351015190
8109.822021484375,485468703,351015192
8209.822021484375,485468703,351015192
8309.822021484375,485468703,351015192
8409.822021484375,485468703,351015192
8509.822021484375,485468703,351015192
8609.822021484375,485468703,351015192
8709.822021484375,485468703,351015192
8809.822021484375,485468703,351015192
8909.822021484375,485468703,351015192
9009.822021484375,485468703,351015192
9109.822021484375,485468703,351015192
9209.822021484375,485468706,351015193
9309.822021484375,485468706,351015193
9409.822021484375,485468706,351015193
9509.822021484375,485468706,351015193
9609.822021484375,485468706,351015193
9709.822021484375,485468706,351015193
9809.822021484375,485468706,351015193
9909.822021484375,485468706,351015193
10009.822021484375,485468706,351015193
10109.822021484375,485468706,351015193
10209.822021484375,485468708,351015196
10309.822021484375,485468708,351015196
10409.822021484375,485468708,351015196
10509.822021484375,485468708,351015196
10609.822021484375,485468708,351015196
10709.822021484375,485468708,351015196
10809.822021484375,485468708,351015196
10909.822021484375,485468708,351015196
11009.822021484375,485468708,351015196
11109.822021484375,485468708,351015196
11209.822021484375,485468713,351015196
11309.822021484375,485468713,351015196
11409.822021484375,485468713,351015196
11509.822021484375,485468713,351015196
11609.822021484375,485468713,351015196
11709.822021484375,485468713,351015196
11809.822021484375,485468713,351015196
11909.822021484375,485468713,351015196
12009.822021484375,485468713,351015196
12109.822021484375,485468713,351015196
12209.822021484375,485468713,351015196
12309.822021484375,485468718,351015196
12409.822021484375,485468718,351015196
12509.822021484375,485468718,351015196
12609.822021484375,485468718,351015196
12709.822021484375,485468718,351015196
12809.822021484375,485468718,351015196
12909.822021484375,485468718,351015196
13009.822021484375,485468718,351015196
13109.822021484375,485468718,351015196
13209.822021484375,485468718,351015196
13309.822021484375,485468722,351015198
13409.822021484375,485468722,351015198
13509.822021484375,485468722,351015198
13609.822021484375,485468722,351015198
13709.822021484375,485468722,351015198
13809.822021484375,485468722,351015198
13909.822021484375,485468722,351015198
14009.822021484375,485468722,351015198
14109.822021484375,485468722,351015198
14209.822021484375,485468722,351015198
14309.822021484375,485468727,351015198
14409.822021484375,485468727,351015198
14509.822021484375,485468727,351015198
14609.822021484375,485468727,351015198
14709.822021484375,485468727,351015198
14809.822021484375,485468727,351015198
14909.822021484375,485468727,351015198
15009.822021484375,485468727,351015198
15109.822021484375,485468727,351015198
15209.822021484375,485468727,351015198
15309.822021484375,485468727,351015198
15409.822021484375,485468731,351015198
15509.822021484375,485468731,351015198
15609.822021484375,485468731,351015198
15709.822021484375,485468731,351015198
15809.822021484375,485468731,351015198
15909.822021484375,485468731,351015198
16009.822021484375,485468731,351015198
16109.822021484375,485468731,351015198
16209.822021484375,485468731,351015198
16309.822021484375,485468731,351015198
16409.822021484375,485468735,351015196
16509.822021484375,485468735,351015196
16609.822021484375,485468735,351015196
16709.822021484375,485468735,351015196
16809.822021484375,485468735,351015196
16909.822021484375,485468735,351015196
17009.822021484375,485468735,351015196
17109.822021484375,485468735,351015196
17209.822021484375,485468735,351015196
17309.822021484375,485468735,351015196
