timestamp(ms),altitude(SCALED_PRESSURE2)
1199853.1169433594,713.5533478146315
1199953.1169433594,713.5533478146315
1200053.1169433594,713.7201682096501
1200153.1169433594,713.7201682096501
1200253.1169433594,713.5512494670479
1200353.1169433594,713.5512494670479
1200453.1169433594,713.5512494670479
1200553.1169433594,713.4977417897516
1200653.1169433594,713.4977417897516
1200753.1169433594,713.4526277518354
1200853.1169433594,713.4526277518354
1200953.1169433594,713.2286350773179
1201053.1169433594,713.2286350773179
1201153.1169433594,713.2286350773179
1201253.1169433594,712.9799948204296
1201353.1169433594,712.9799948204296
1201453.1169433594,712.8829537799846
1201553.1169433594,712.8829537799846
1201653.1169433594,712.8829537799846
1201753.1169433594,712.7733250484664
1201853.1169433594,712.7733250484664
1201953.1169433594,712.5189292378814
1202053.1169433594,712.5189292378814
1202153.1169433594,712.5189292378814
1202253.1169433594,712.3946191775507
1202353.1169433594,712.3946191775507
1202453.1169433594,712.250904470223
1202553.1169433594,712.250904470223
1202653.1169433594,711.9388321578158
1202753.1169433594,711.9388321578158
1202853.1169433594,711.9388321578158
1202953.1169433594,711.9613848745888
1203053.1169433594,711.9613848745888
1203153.1169433594,711.9351607913386
1203253.1169433594,711.9351607913386
1203353.1169433594,711.9351607913386
1203453.1169433594,711.8554401064357
1203553.1169433594,711.8554401064357
1203653.1169433594,711.5533478820371
1203753.1169433594,711.5533478820371
1203853.1169433594,711.5533478820371
1203953.1169433594,711.7112106240725
1204053.1169433594,711.7112106240725
1204153.1169433594,711.7112106240725
1204253.1169433594,711.7112106240725
1204353.1169433594,711.5743261399398
1204453.1169433594,711.5743261399398
1204553.1169433594,711.5743261399398
1204653.1169433594,711.6325410939207
1204753.1169433594,711.6325410939207
1204853.1169433594,711.9230977419264
1204953.1169433594,711.9230977419264
1205053.1169433594,711.9765948822835
1205153.1169433594,711.9765948822835
1205253.1169433594,711.9765948822835
1205353.1169433594,712.1276475637264
1205453.1169433594,712.1276475637264
1205553.1169433594,712.124500603756
1205653.1169433594,712.124500603756
1205753.1169433594,712.130270031316
1205853.1169433594,712.130270031316
1205953.1169433594,712.130270031316
1206053.1169433594,712.512635011159
1206153.1169433594,712.512635011159
1206253.1169433594,712.403535868589
1206353.1169433594,712.403535868589
1206453.1169433594,712.512635011159
1206553.1169433594,712.512635011159
1206653.1169433594,712.512635011159
1206753.1169433594,712.6988413133384
1206853.1169433594,712.6988413133384
1206953.1169433594,712.4764433036624
1207053.1169433594,712.4764433036624
1207153.1169433594,712.4764433036624
1207253.1169433594,712.7161508518674
1207353.1169433594,712.7161508518674
1207453.1169433594,712.4465459297303
1207553.1169433594,712.4465459297303
1207653.1169433594,712.4444478725995
1207753.1169433594,712.4444478725995
1207853.1169433594,712.4444478725995
1207953.1169433594,712.2383164437176
1208053.1169433594,712.2383164437176
1208153.1169433594,712.2383164437176
1208253.1169433594,712.1496763182035
1208353.1169433594,712.1496763182035
1208453.1169433594,711.9178529435102
1208553.1169433594,711.9178529435102
1208653.1169433594,711.7898809282849
1208753.1169433594,711.7898809282849
1208853.1169433594,711.6204785010746
1208953.1169433594,711.6204785010746
1209053.1169433594,711.6204785010746
1209153.1169433594,711.7154063540903
1209253.1169433594,711.7154063540903
1209353.1169433594,711.7154063540903
1209453.1169433594,711.3556305053652
1209553.1169433594,711.3556305053652
1209653.1169433594,711.2082634393166
