timestamp(ms),GPS_RAW_INT.alt
109.822021484375,57350
209.822021484375,57360
309.822021484375,57360
409.822021484375,57360
509.822021484375,57360
609.822021484375,57360
709.822021484375,57370
809.822021484375,57370
909.822021484375,57400
1009.822021484375,57400
1109.822021484375,57400
1209.822021484375,57400
1309.822021484375,57400
1409.822021484375,57420
1509.822021484375,57420
1609.822021484375,57420
1709.822021484375,57410
1809.822021484375,57410
1909.822021484375,57410
2009.822021484375,57410
2109.822021484375,57410
2209.822021484375,57410
2309.822021484375,57410
2409.822021484375,57410
2509.822021484375,57430
2609.822021484375,57450
2709.822021484375,57450
2809.822021484375,57450
2909.822021484375,57450
3009.822021484375,57480
3109.822021484375,57480
3209.822021484375,57480
3309.822021484375,57480
3409.822021484375,57480
3509.822021484375,57480
3609.822021484375,57480
3709.822021484375,57480
3809.822021484375,57480
3909.822021484375,57480
4009.822021484375,57550
4109.822021484375,57550
4209.822021484375,57550
4309.822021484375,57550
4409.822021484375,57550
4509.822021484375,57550
4609.822021484375,57550
4709.822021484375,57550
4809.822021484375,57550
4909.822021484375,57550
5009.822021484375,57600
5109.822021484375,57600
5209.822021484375,57600
5309.822021484375,57600
5409.822021484375,57600
5509.822021484375,57600
5609.822021484375,57600
5709.822021484375,57600
5809.822021484375,57600
5909.822021484375,57600
6009.822021484375,57680
6109.822021484375,57680
6209.822021484375,57680
6309.822021484375,57680
6409.822021484375,57680
6509.822021484375,57680
6609.822021484375,57680
6709.822021484375,57680
6809.822021484375,57680
6909.822021484375,57680
7009.822021484375,57680
7109.822021484375,57740
7209.822021484375,57740
7309.822021484375,57740
7409.822021484375,57740
7509.822021484375,57740
7609.822021484375,57740
7709.822021484375,57740
7809.822021484375,57740
7909.822021484375,57740
8009.822021484375,57740
8109.822021484375,57820
8209.822021484375,57820
8309.822021484375,57820
8409.822021484375,57820
8509.822021484375,57820
8609.822021484375,57820
8709.822021484375,57820
8809.822021484375,57820
8909.822021484375,57820
9009.822021484375,57820
9109.822021484375,57820
9209.822021484375,57900
9309.822021484375,57900
9409.822021484375,57900
9509.822021484375,57900
9609.822021484375,57900
9709.822021484375,57900
9809.822021484375,57900
9909.822021484375,57900
10009.822021484375,57900
10109.822021484375,57900
10209.822021484375,57960
10309.822021484375,57960
10409.822021484375,57960
10509.822021484375,57960
10609.822021484375,57960
10709.822021484375,57960
10809.822021484375,57960
10909.822021484375,57960
11009.822021484375,57960
11109.822021484375,57960
11209.822021484375,58070
11309.822021484375,58070
11409.822021484375,58070
11509.822021484375,58070
11609.822021484375,58070
11709.822021484375,58070
11809.822021484375,58070
11909.822021484375,58070
12009.822021484375,58070
12109.822021484375,58070
12209.822021484375,58070
12309.822021484375,58140
12409.822021484375,58140
12509.822021484375,58140
12609.822021484375,58140
12709.822021484375,58140
12809.822021484375,58140
12909.822021484375,58140
13009.822021484375,58140
13109.822021484375,58140
13209.822021484375,58140
13309.822021484375,58230
13409.822021484375,58230
13509.822021484375,58230
13609.822021484375,58230
13709.822021484375,58230
13809.822021484375,58230
13909.822021484375,58230
14009.822021484375,58230
14109.822021484375,58230
14209.822021484375,58230
14309.822021484375,58300
14409.822021484375,58300
14509.822021484375,58300
14609.822021484375,58300
14709.822021484375,58300
14809.822021484375,58300
14909.822021484375,58300
15009.822021484375,58300
15109.822021484375,58300
15209.822021484375,58300
15309.822021484375,58300
15409.822021484375,58360
15509.822021484375,58360
15609.822021484375,58360
15709.822021484375,58360
15809.822021484375,58360
15909.822021484375,58360
16009.822021484375,58360
16109.822021484375,58360
16209.822021484375,58360
16309.822021484375,58360
16409.822021484375,58400
16509.822021484375,58400
16609.822021484375,58400
16709.822021484375,58400
16809.822021484375,58400
16909.822021484375,58400
17009.822021484375,58400
17109.822021484375,58400
17209.822021484375,58400
17309.822021484375,58400
17409.822021484375,58440
17509.822021484375,58440
17609.822021484375,58440
17709.822021484375,58440
17809.822021484375,58440
17909.822021484375,58440
18009.822021484375,58440
18109.822021484375,58440
18209.822021484375,58440
18309.822021484375,58440
18409.822021484375,58440
18509.822021484375,58490
18609.822021484375,58490
18709.822021484375,58490
18809.822021484375,58490
18909.822021484375,58490
19009.822021484375,58490
19109.822021484375,58490
19209.822021484375,58490
19309.822021484375,58490
19409.822021484375,58490
19509.822021484375,58520
19609.822021484375,58520
19709.822021484375,58520
19809.822021484375,58520
19909.822021484375,58520
20009.822021484375,58520
20109.822021484375,58520
20209.822021484375,58520
20309.822021484375,58520
20409.822021484375,58520
20509.822021484375,58520
20609.822021484375,58570
20709.822021484375,58570
20809.822021484375,58570
20909.822021484375,58570
21009.822021484375,58570
21109.822021484375,58570
21209.822021484375,58570
21309.822021484375,58570
21409.822021484375,58570
21509.822021484375,58570
21609.822021484375,58570
21709.822021484375,58570
21809.822021484375,58570
21909.822021484375,58540
22009.822021484375,58540
22109.822021484375,58540
22209.822021484375,58540
22309.822021484375,58540
22409.822021484375,58560
22509.822021484375,58560
22609.822021484375,58560
22709.822021484375,58560
22809.822021484375,58560
22909.822021484375,58580
23009.822021484375,58580
23109.822021484375,58580
23209.822021484375,58580
23309.822021484375,58580
23409.822021484375,58560
23509.822021484375,58560
23609.822021484375,58560
23709.822021484375,58560
23809.822021484375,58560
23909.822021484375,58570
24009.822021484375,58570
24109.822021484375,58570
24209.822021484375,58570
24309.822021484375,58570
24409.822021484375,58580
24509.822021484375,58580
24609.822021484375,58580
24709.822021484375,58580
24809.822021484375,58580
24909.822021484375,58560
25009.822021484375,58560
25109.822021484375,58560
25209.822021484375,58560
25309.822021484375,58560
