t,accCmpX,accCmpY,accCmpZ
168,6.64659,-9.02889,-10.0098
169,-7.05562,2.13821,-14.7695
170,11.1179,3.26911,-6.96698
171,12.0229,1.36147,-6.14813
172,11.555,-1.89429,-6.26912
173,9.70453,-4.70813,-7.1029
174,6.74529,-6.66577,-8.5549
175,3.11628,-7.49107,-10.4384
176,-3.06825,2.39779,-13.8234
177,-7.1124,3.78744,-10.173
178,-6.94048,-1.19682,-0.891101
179,-2.20761,5.82565,-5.14045
180,4.98829,9.86565,-8.10083
181,11.7707,0.433824,-4.35514
182,5.92332,-0.907063,-7.77241
183,-5.16914,3.25381,-17.9547
184,-6.70355,-4.04631,-15.6658
185,3.52127,-9.62847,-11.85
186,11.3682,-1.71516,-8.00533
187,7.90431,4.41063,-7.04068
188,-2.74588,0.0467575,-16.8376
189,-7.92503,0.846277,-20.0679
190,-1.62565,9.15852,-13.3371
191,5.13896,9.46707,-11.5081
192,10.3171,4.05885,-16.4616
193,11.4024,-0.166304,-19.9984
194,8.0048,2.03965,-16.9643
195,1.80059,7.22504,-10.8945
196,-7.5148,-0.650496,-2.95698
197,-4.9617,6.71763,-9.25766
198,6.16592,7.54884,-9.60171
199,11.3375,-0.0755593,-2.23994
200,3.57969,7.13568,-10.5823
201,-1.62235,-5.53902,-13.9751
202,-5.78897,-4.04816,-6.59931
203,-7.97967,2.15294,-4.60001
204,-7.86859,-1.1423,-18.17
205,-5.71444,5.34811,-16.746
206,1.16967,7.98606,-11.0861
207,8.35742,6.27079,-7.33171
208,11.2805,0.165924,-7.00772
209,8.17007,-6.63359,-9.18321
210,0.970259,-9.45566,-10.9481
211,-2.80578,-3.76729,-7.93534
212,-5.82363,4.58665,-6.12287
213,-7.7175,3.636,-14.5816
214,-8.33842,0.370457,-21.5064
215,-7.73382,3.4557,-15.5464
216,-8.326,-0.290544,-3.36759
217,-6.71379,4.6078,-6.74107
218,-3.12145,6.40682,-14.9441
219,1.71982,-5.71825,-11.4876
220,6.61444,-6.945,-14.3066
221,8.346,2.38877,-17.6712
222,9.83228,5.40801,-10.6041
223,10.8338,0.972635,-1.68846
224,11.1722,0.607666,-6.7123
225,10.6986,2.40394,-18.1071
226,8.89053,-4.83514,-15.738
227,5.82576,-4.34654,-7.54063
228,1.86743,8.89994,-11.0925
229,-2.34618,4.07946,-7.96392
230,-5.97586,-5.77803,-8.60288
231,-7.10405,-3.92971,-18.0097
232,-7.91783,0.270203,-22.4124
233,-8.38443,1.30614,-18.2406
234,-8.45069,-0.468772,-9.0092
235,-8.0779,-0.234142,-3.85237
236,-0.0298803,8.65814,-8.78995
237,9.66264,5.28508,-5.591
238,9.5958,0.841807,-1.42611
239,-0.328131,9.36238,-10.353
240,-8.16448,2.35581,-3.90909
241,-7.62359,2.69542,-3.63071
242,-6.87518,3.60395,-3.72222
243,-5.89196,4.26717,-4.07338
244,-4.70232,4.66922,-4.68864
245,-3.34007,4.80854,-5.5586
246,-5.96369,3.08019,-2.55815
247,9.16018,6.80521,-10.8658
248,6.20473,-5.27157,-6.16708
249,-7.82795,1.29244,-18.6996
250,0.820078,-8.42379,-9.80368
251,9.06505,-6.42631,-9.30516
252,11.1133,1.9699,-13.4148
253,5.22849,5.28444,-11.7484
254,-3.71221,1.53876,-3.61196
255,-8.21012,-0.19299,0.729632
256,-8.17929,0.459593,1.03737
257,-8.18148,0.453405,0.809584
258,-8.17755,0.341579,0.0965555
259,-8.16763,0.138556,-1.0649
260,-8.15183,-0.131777,-2.61414
261,-7.65458,3.1919,-6.70966
262,-5.63785,6.78645,-9.84292
263,-2.42865,8.56231,-11.1818
264,-5.97549,6.5964,-11.0742
265,-7.95213,2.82848,-10.5313
266,-8.1216,-0.839781,-9.13289
267,-6.84543,-4.31955,-7.80711
268,-7.50445,-3.31521,-7.72475
269,-7.94266,-2.01222,-6.73
270,-8.20207,-0.738977,-5.76825
271,4.71675,8.87063,-6.73128
272,8.21847,-1.96806,-1.53341
273,7.62338,-3.49517,-5.53036
274,6.9074,-4.94879,-6.6895
275,7.86584,-2.451,-3.34411
276,8.7144,-0.481442,-2.03723
277,9.46047,1.14589,-1.22639
278,10.5784,-0.278304,0.355506
279,4.03363,-3.03256,-6.12865
280,6.77684,-4.32019,-5.18185
281,8.99056,-4.227,-4.6799
