t,accX,accY,accZ
0,2.36421,0.27468000000000004,-10.378980000000002
1,2.36421,0.27468000000000004,-10.378980000000002
2,2.36421,0.27468000000000004,-10.378980000000002
3,2.36421,0.25506,-9.98658
4,2.36421,0.25506,-9.98658
5,2.3544,-0.0981,-10.938150000000002
6,2.3544,-0.0981,-10.938150000000002
7,2.3544,-0.18639000000000003,-8.789760000000001
8,2.3544,-0.18639000000000003,-8.789760000000001
9,2.3544,-0.18639000000000003,-8.789760000000001
10,2.38383,0.36297,-10.712520000000001
11,2.38383,0.36297,-10.712520000000001
12,2.3151600000000006,-0.009810000000000001,-9.65304
13,2.3151600000000006,-0.009810000000000001,-9.65304
14,2.3151600000000006,-0.009810000000000001,-9.65304
15,2.3347800000000003,0.17658000000000001,-9.14292
16,2.3347800000000003,0.17658000000000001,-9.14292
17,2.4525,0.36297,-9.329310000000001
18,2.4525,0.36297,-9.329310000000001
19,2.4525,0.36297,-9.329310000000001
20,2.5505999999999998,0.1962,-10.104300000000002
21,2.5505999999999998,0.1962,-10.104300000000002
22,2.61927,0.15696000000000002,-9.14292
23,2.61927,0.15696000000000002,-9.14292
24,2.6487000000000003,-0.019620000000000002,-8.41698
25,2.6487000000000003,-0.019620000000000002,-8.41698
26,2.6487000000000003,-0.019620000000000002,-8.41698
27,2.65851,-0.28449,-9.74133
28,2.65851,-0.28449,-9.74133
29,2.65851,-0.28449,-9.74133
30,2.60946,0.20601000000000003,-8.76033
31,2.61927,0.30411000000000005,-9.682470000000002
32,2.61927,0.30411000000000005,-9.682470000000002
33,2.61927,0.30411000000000005,-9.682470000000002
34,2.59965,0.33354,-8.063820000000002
35,2.59965,0.33354,-8.063820000000002
36,2.72718,0.40221000000000007,-10.310310000000001
37,2.72718,0.40221000000000007,-10.310310000000001
38,2.5505999999999998,0.4905,-8.29926
39,2.5505999999999998,0.4905,-8.29926
40,2.5505999999999998,0.4905,-8.29926
41,2.6781300000000003,0.30411000000000005,-8.593560000000002
42,2.6781300000000003,0.30411000000000005,-8.593560000000002
43,2.5505999999999998,0.5984100000000001,-8.72109
44,2.5505999999999998,0.5984100000000001,-8.72109
45,2.5505999999999998,0.5984100000000001,-8.72109
46,2.6487000000000003,0.26487,-10.08468
47,2.6487000000000003,0.26487,-10.08468
48,2.6487000000000003,0.26487,-10.08468
49,2.65851,0.20601000000000003,-9.28026
50,2.62908,0.039240000000000004,-8.61318
51,2.62908,0.039240000000000004,-8.61318
52,2.62908,0.039240000000000004,-8.61318
53,2.6781300000000003,-0.009810000000000001,-7.5929400000000005
54,2.6781300000000003,-0.009810000000000001,-7.5929400000000005
55,2.72718,0.26487,-10.182780000000001
56,2.72718,0.26487,-10.182780000000001
