t,velX,velY,velZ,velAir,vel
7185,-0.907061,-0.212529,-0.848913,13.9696,13.9696
7186,-0.9111,0.183355,-0.555996,15.3215,15.3215
7187,-0.786413,0.469076,-0.492519,16.3548,16.3548
7188,-0.731668,0.438403,-0.40417,16.4711,16.4711
7189,-0.675167,0.401952,-0.348394,16.5318,16.5318
7190,-0.612731,0.327948,-0.331213,16.444,16.444
7191,-0.558156,-0.0769446,-0.421064,15.4081,15.4081
7192,-0.502033,-0.494313,-0.593975,14.4171,14.4171
7193,0.576726,0.056223,-1.53822,16.9573,16.9573
7194,0.997312,-0.132556,-1.67982,17.9461,17.9461
7195,0.361114,0.377388,-1.27389,17.3117,17.3117
7196,-0.838359,0.024759,-0.101855,15.838,15.838
7197,-0.448211,0.245362,-0.512007,16.1851,16.1851
7198,0.720075,0.532487,-1.48035,18.5798,18.5798
7199,0.935201,-0.40721,-1.24246,17.5752,17.5752
7200,0.544882,0.590724,-1.26177,18.39,18.39
7201,-0.760697,0.0829209,-0.0749889,16.1205,16.1205
7202,-0.653007,0.331112,-0.321076,16.4147,16.4147
7203,-0.522134,0.636277,-0.594193,17.0677,17.0677
7204,-0.373424,0.863507,-0.846878,17.7409,17.7409
7205,-0.823481,0.39431,-0.553603,16.0022,16.0022
7206,-0.920283,-0.0871984,-0.261586,15.1787,15.1787
7207,0.283421,-0.0367868,-1.22031,16.1898,16.1898
7208,0.989514,-0.0943403,-1.81052,17.9089,17.9089
7209,-0.310787,-0.764391,-0.829412,13.9916,13.9916
7210,-0.623177,-0.523586,-0.523209,14.2853,14.2853
7211,-0.837752,-0.225565,-0.251382,15.0162,15.0162
7212,-0.924911,0.00762323,-0.0678059,15.7674,15.7674
7213,-0.0429933,0.371875,-0.866339,16.7726,16.7726
7214,1.00765,0.21655,-1.27293,18.9378,18.9378
7215,0.880808,-0.55183,-0.866573,17.5271,17.5271
7216,0.251664,-0.877752,-0.83659,15.1485,15.1485
7217,0.352803,-0.675552,-0.868185,15.6556,15.6556
7218,0.443557,-0.432633,-0.735797,16.4358,16.4358
7219,0.531597,-0.169209,-0.61243,17.2886,17.2886
7220,0.158316,0.259376,-0.973185,16.7998,16.7998
7221,-0.218337,0.622237,-1.27785,16.7667,16.7667
7222,-0.554415,0.710058,-1.30668,16.4956,16.4956
7223,0.621545,0.790525,-0.575345,19.8478,19.8478
7224,0.98635,-0.21228,-0.385701,18.9993,18.9993
7225,0.790575,-0.426709,-0.628599,17.665,17.665
7226,0.513967,-0.465303,-0.732259,16.5959,16.5959
7227,0.948277,0.263811,-0.606309,19.4604,19.4604
7228,-0.0762865,0.978494,-0.999541,18.4907,18.4907
7229,-0.963962,0.174748,-0.887853,14.771,14.771
7230,-0.437198,-0.881187,-0.91253,13.4638,13.4638
7231,0.42139,-0.902246,-1.13418,15.2639,15.2639
7232,0.95962,-0.246157,-1.30929,17.8646,17.8646
7233,0.774732,0.543316,-1.32144,18.89,18.89
7234,0.850097,0.463709,-1.30671,18.9366,18.9366
7235,0.91031,0.347664,-1.34758,18.8279,18.8279
